func,iter,xcen,ycen,depth,dP_mu
9.479386e+00,11,4.2632030e+05,4.5187682e+06,2.6826544e+03,3.4285129e-03
9.479679e+00,11,4.2628422e+05,4.5187737e+06,2.6361359e+03,3.3047588e-03
9.481056e+00,11,4.2631582e+05,4.5187447e+06,2.7291286e+03,3.4841538e-03
9.481465e+00,11,4.2630838e+05,4.5187780e+06,2.7249125e+03,3.4500109e-03
9.481825e+00,11,4.2633129e+05,4.5187540e+06,2.7075910e+03,3.4323174e-03
9.484586e+00,11,4.2632568e+05,4.5187595e+06,2.7039758e+03,3.4596586e-03
9.485069e+00,11,4.2630191e+05,4.5187722e+06,2.6177006e+03,3.2418706e-03
9.485583e+00,11,4.2631635e+05,4.5187419e+06,2.7270930e+03,3.4724145e-03
9.485743e+00,11,4.2631345e+05,4.5187451e+06,2.6781668e+03,3.4014733e-03
9.486274e+00,11,4.2629894e+05,4.5187670e+06,2.6624062e+03,3.3894615e-03
9.487771e+00,11,4.2630076e+05,4.5187855e+06,2.6990528e+03,3.3823456e-03
9.490051e+00,11,4.2628686e+05,4.5187908e+06,2.6712501e+03,3.3744506e-03
9.490083e+00,10,4.2629884e+05,4.5187738e+06,2.7035395e+03,3.3771987e-03
9.490680e+00,11,4.2632331e+05,4.5187923e+06,2.6263280e+03,3.2885980e-03
9.492055e+00,10,4.2630113e+05,4.5187531e+06,2.7397405e+03,3.4643291e-03
9.492097e+00,11,4.2631297e+05,4.5187924e+06,2.6573092e+03,3.3703383e-03
9.493417e+00,11,4.2629531e+05,4.5187401e+06,2.7171623e+03,3.4191346e-03
9.493754e+00,11,4.2629136e+05,4.5187560e+06,2.7456818e+03,3.4944862e-03
9.493862e+00,10,4.2631520e+05,4.5187638e+06,2.6847490e+03,3.4377008e-03
9.495465e+00,11,4.2628300e+05,4.5187510e+06,2.7334811e+03,3.4890669e-03
9.495959e+00,10,4.2628255e+05,4.5187479e+06,2.6631186e+03,3.3482858e-03
9.496492e+00,11,4.2628251e+05,4.5187586e+06,2.6421007e+03,3.2896176e-03
9.497581e+00,10,4.2631061e+05,4.5187962e+06,2.6374190e+03,3.3240119e-03
9.498028e+00,11,4.2633072e+05,4.5187900e+06,2.6817008e+03,3.3927340e-03
9.498512e+00,11,4.2633328e+05,4.5187851e+06,2.6907549e+03,3.4028183e-03
9.498987e+00,11,4.2629537e+05,4.5187427e+06,2.7389177e+03,3.5061332e-03
9.504279e+00,11,4.2631483e+05,4.5187959e+06,2.6900752e+03,3.3885034e-03
9.504703e+00,10,4.2629011e+05,4.5187571e+06,2.7417474e+03,3.5157924e-03
9.505142e+00,10,4.2631751e+05,4.5187594e+06,2.7463309e+03,3.5117139e-03
9.507155e+00,10,4.2630027e+05,4.5187928e+06,2.6671783e+03,3.3890828e-03
9.507880e+00,11,4.2627447e+05,4.5187831e+06,2.6725697e+03,3.3664089e-03
9.511420e+00,11,4.2627845e+05,4.5187786e+06,2.7101273e+03,3.4182455e-03
9.511903e+00,11,4.2630587e+05,4.5187356e+06,2.7089910e+03,3.4055924e-03
9.513785e+00,9,4.2632647e+05,4.5187497e+06,2.6964949e+03,3.3772202e-03
9.515956e+00,11,4.2632505e+05,4.5187866e+06,2.6306184e+03,3.3198715e-03
9.517347e+00,11,4.2629986e+05,4.5187340e+06,2.7358644e+03,3.4725569e-03
9.518303e+00,11,4.2632186e+05,4.5187437e+06,2.6609159e+03,3.3516568e-03
9.519281e+00,10,4.2632708e+05,4.5187767e+06,2.6285969e+03,3.2517373e-03
9.521600e+00,10,4.2630836e+05,4.5187709e+06,2.6049698e+03,3.2315393e-03
9.521687e+00,11,4.2629389e+05,4.5187348e+06,2.7368727e+03,3.4952729e-03
9.523157e+00,10,4.2627859e+05,4.5187506e+06,2.6806054e+03,3.4062167e-03
9.523814e+00,11,4.2627055e+05,4.5187803e+06,2.6580805e+03,3.3265633e-03
9.523915e+00,11,4.2631986e+05,4.5187398e+06,2.6762592e+03,3.3517018e-03
9.525589e+00,11,4.2632590e+05,4.5187840e+06,2.7189973e+03,3.4600496e-03
9.526513e+00,11,4.2628714e+05,4.5187402e+06,2.7189062e+03,3.4798292e-03
9.526652e+00,11,4.2632890e+05,4.5187490e+06,2.7145672e+03,3.4172634e-03
9.526919e+00,11,4.2629932e+05,4.5187876e+06,2.7200185e+03,3.4700084e-03
9.527189e+00,11,4.2630272e+05,4.5187744e+06,2.7405298e+03,3.5166229e-03
9.528492e+00,11,4.2633840e+05,4.5187613e+06,2.7057913e+03,3.4543987e-03
9.528915e+00,11,4.2629235e+05,4.5187357e+06,2.6718363e+03,3.3649662e-03
9.529427e+00,10,4.2629831e+05,4.5187492e+06,2.7222882e+03,3.5046702e-03
9.529648e+00,11,4.2630850e+05,4.5188061e+06,2.6470040e+03,3.3177569e-03
9.529835e+00,10,4.2630952e+05,4.5187359e+06,2.6679850e+03,3.3501277e-03
9.530073e+00,11,4.2627631e+05,4.5187625e+06,2.7225387e+03,3.4821543e-03
9.530108e+00,10,4.2631518e+05,4.5187623e+06,2.7263541e+03,3.5147713e-03
9.530229e+00,10,4.2628309e+05,4.5187935e+06,2.6346672e+03,3.3013141e-03
9.530319e+00,11,4.2631261e+05,4.5187647e+06,2.6840158e+03,3.4451620e-03
9.530678e+00,11,4.2630384e+05,4.5187452e+06,2.7396144e+03,3.5281519e-03
9.530710e+00,10,4.2629309e+05,4.5187759e+06,2.6791245e+03,3.3177859e-03
