func,iter,xcen,ycen,depth,radius,dP_mu
2.022086e+01,19,4.2625333e+05,4.5186545e+06,3.9218483e+03,9.2195844e+02,4.8886156e-03
2.022116e+01,18,4.2624850e+05,4.5186542e+06,3.9515745e+03,9.8213675e+02,4.0687659e-03
2.022154e+01,19,4.2621795e+05,4.5186557e+06,3.8820579e+03,9.1677854e+02,4.7976797e-03
2.022162e+01,12,4.2622977e+05,4.5186721e+06,3.8883563e+03,8.9460261e+02,5.1563554e-03
2.022291e+01,15,4.2623236e+05,4.5186573e+06,3.8920643e+03,9.3309709e+02,4.5576714e-03
2.022512e+01,19,4.2624629e+05,4.5186345e+06,3.9022388e+03,9.6974777e+02,4.1484184e-03
2.022520e+01,16,4.2623638e+05,4.5186395e+06,3.9957996e+03,9.6343646e+02,4.3518548e-03
2.022651e+01,18,4.2624024e+05,4.5186325e+06,3.8902882e+03,9.1407161e+02,4.8954395e-03
2.022700e+01,19,4.2624620e+05,4.5186345e+06,3.9802184e+03,9.6587700e+02,4.3241349e-03
2.022719e+01,19,4.2622803e+05,4.5186671e+06,3.8659238e+03,9.1922097e+02,4.7430226e-03
2.022776e+01,19,4.2621047e+05,4.5186479e+06,3.8833735e+03,9.2556612e+02,4.7082903e-03
2.022830e+01,10,4.2623706e+05,4.5186383e+06,3.8816255e+03,9.6653045e+02,4.1564588e-03
2.022852e+01,19,4.2621915e+05,4.5186631e+06,3.8741555e+03,9.2206262e+02,4.7090041e-03
2.022906e+01,19,4.2621861e+05,4.5186368e+06,3.9811914e+03,9.6366566e+02,4.3507586e-03
2.023084e+01,19,4.2625079e+05,4.5186595e+06,3.9651709e+03,9.1651695e+02,4.9368628e-03
2.023155e+01,19,4.2624365e+05,4.5186355e+06,3.9894114e+03,9.7045284e+02,4.2562912e-03
2.023167e+01,19,4.2625336e+05,4.5186716e+06,3.8883004e+03,8.9552911e+02,5.1566279e-03
2.023171e+01,18,4.2622590e+05,4.5186720e+06,3.8868002e+03,9.2489281e+02,4.7600819e-03
2.023246e+01,16,4.2625704e+05,4.5186367e+06,3.9723447e+03,9.1257539e+02,5.0241971e-03
2.023265e+01,18,4.2626212e+05,4.5186729e+06,3.9242439e+03,9.1963100e+02,4.8671126e-03
2.023309e+01,18,4.2622141e+05,4.5186392e+06,3.9773132e+03,9.8238945e+02,4.0961373e-03
2.023423e+01,19,4.2623852e+05,4.5186185e+06,3.9795155e+03,9.1408280e+02,5.0175859e-03
2.023487e+01,19,4.2624102e+05,4.5186531e+06,3.8614864e+03,9.6069505e+02,4.1786882e-03
2.023570e+01,18,4.2620924e+05,4.5186258e+06,3.9515335e+03,9.1409359e+02,4.9638330e-03
2.023591e+01,19,4.2620904e+05,4.5186424e+06,3.8883834e+03,9.3229678e+02,4.6159188e-03
2.023637e+01,17,4.2621411e+05,4.5186301e+06,3.9849049e+03,9.5767341e+02,4.4246705e-03
2.023666e+01,19,4.2624194e+05,4.5186646e+06,3.8622571e+03,9.5971698e+02,4.2141125e-03
2.023697e+01,19,4.2620978e+05,4.5186190e+06,3.9576830e+03,9.1166683e+02,5.0365746e-03
2.023705e+01,19,4.2624457e+05,4.5186350e+06,3.8875667e+03,9.2411256e+02,4.7601816e-03
2.023724e+01,19,4.2624727e+05,4.5186833e+06,3.8865319e+03,8.9895601e+02,5.1562633e-03
2.023899e+01,19,4.2622273e+05,4.5186341e+06,3.9939975e+03,9.6661119e+02,4.3250333e-03
2.023906e+01,18,4.2625823e+05,4.5186421e+06,3.9773252e+03,9.5229943e+02,4.5035648e-03
2.023994e+01,19,4.2622019e+05,4.5186736e+06,3.8809153e+03,9.2584561e+02,4.7225464e-03
2.024002e+01,19,4.2622239e+05,4.5186795e+06,3.9006848e+03,9.1532040e+02,4.8539624e-03
2.024050e+01,18,4.2623819e+05,4.5186569e+06,3.8656377e+03,9.2553886e+02,4.6400801e-03
2.024120e+01,19,4.2619824e+05,4.5186364e+06,3.9255109e+03,9.0361745e+02,5.1191157e-03
2.024133e+01,19,4.2624588e+05,4.5186451e+06,3.8783930e+03,9.6443935e+02,4.1921611e-03
2.024181e+01,17,4.2623582e+05,4.5186407e+06,3.8972735e+03,1.0430084e+03,3.3239671e-03
2.024211e+01,19,4.2624295e+05,4.5186425e+06,3.8995010e+03,9.1660780e+02,4.8165243e-03
