xtlc,ytlc,dtlc,length,width,dip,opening
4.2486640e+05,4.5198182e+06,3.6460209e+03,2.6093151e+03,2.3143107e+03,5.7694828e-01,1.1161392e+00
4.2548510e+05,4.5191968e+06,5.0958016e+03,1.1276023e+03,2.9372546e+03,3.8696051e+00,3.5856264e+00
4.2495279e+05,4.5197130e+06,3.6377253e+03,2.4826355e+03,2.1617350e+03,4.2661695e-01,1.2873709e+00
4.2490360e+05,4.5197918e+06,3.6476685e+03,2.5558802e+03,2.2851000e+03,1.1496708e-01,1.1568726e+00
4.2487074e+05,4.5197869e+06,3.6457699e+03,2.5656203e+03,2.2436752e+03,5.5611618e-01,1.1848354e+00
4.2485485e+05,4.5198036e+06,3.6293677e+03,2.5938786e+03,2.2576390e+03,4.9588838e-01,1.1401191e+00
4.2491211e+05,4.5197876e+06,3.6424980e+03,2.5728305e+03,2.3062053e+03,3.3005889e-01,1.1374873e+00
4.2488986e+05,4.5198062e+06,3.6470461e+03,2.5929242e+03,2.3281194e+03,4.0024667e-01,1.1143510e+00
4.2498369e+05,4.5196962e+06,3.6676689e+03,2.4186892e+03,2.1123784e+03,1.3825338e-01,1.3556517e+00
4.2491479e+05,4.5197569e+06,3.6659610e+03,2.5323244e+03,2.2763284e+03,3.8212114e-01,1.1847430e+00
4.2488643e+05,4.5197930e+06,3.6464302e+03,2.5872298e+03,2.3039674e+03,5.5030404e-01,1.1318303e+00
4.2491547e+05,4.5197536e+06,3.6290942e+03,2.5174444e+03,2.1836386e+03,2.1726080e-01,1.2342496e+00
4.2492052e+05,4.5197543e+06,3.6852787e+03,2.5158519e+03,2.2731064e+03,2.8664757e-01,1.1832054e+00
4.2490117e+05,4.5197691e+06,3.6832806e+03,2.5373123e+03,2.2895079e+03,3.9642538e-01,1.1687783e+00
4.2489833e+05,4.5197856e+06,3.6511101e+03,2.5564948e+03,2.2621486e+03,4.0293300e-01,1.1776099e+00
4.2548510e+05,4.5191968e+06,5.0958016e+03,1.1276023e+03,2.9372546e+03,3.8696051e+00,3.5856264e+00
4.2499409e+05,4.5196766e+06,3.6390850e+03,2.4373928e+03,2.1109932e+03,3.7371783e-01,1.3410488e+00
4.2490300e+05,4.5197941e+06,3.6487108e+03,2.5580967e+03,2.2912442e+03,1.0646966e-01,1.1521791e+00
4.2492306e+05,4.5197613e+06,3.6378045e+03,2.5351117e+03,2.2510951e+03,2.0899449e-01,1.1903068e+00
4.2489373e+05,4.5197770e+06,3.6615698e+03,2.5501616e+03,2.2696577e+03,4.0534099e-01,1.1705004e+00
4.2491299e+05,4.5197708e+06,3.6568644e+03,2.5462259e+03,2.2812610e+03,3.4095624e-01,1.1699848e+00
4.2492315e+05,4.5197470e+06,3.6734226e+03,2.5230516e+03,2.2622449e+03,5.0541903e-01,1.1981330e+00
4.2491235e+05,4.5197647e+06,3.6859688e+03,2.5091318e+03,2.2513891e+03,2.3757028e-01,1.2120540e+00
4.2492667e+05,4.5197301e+06,3.6744606e+03,2.4991760e+03,2.2389476e+03,4.1414133e-01,1.2294905e+00
4.2490783e+05,4.5197707e+06,3.6657812e+03,2.5339569e+03,2.2583364e+03,3.3150772e-01,1.1882646e+00
4.2490890e+05,4.5197706e+06,3.6500185e+03,2.5371185e+03,2.2520604e+03,2.4306830e-01,1.1893401e+00
4.2492601e+05,4.5197408e+06,3.6992429e+03,2.5034238e+03,2.2731621e+03,3.5621969e-01,1.1881930e+00
4.2489716e+05,4.5197704e+06,3.6885312e+03,2.5414127e+03,2.3042158e+03,4.1459331e-01,1.1577459e+00
4.2489922e+05,4.5197889e+06,3.6510456e+03,2.5580838e+03,2.2724920e+03,3.2579590e-01,1.1689890e+00
4.2533135e+05,4.5193354e+06,4.4467060e+03,1.6195283e+03,2.4540753e+03,2.3301958e+00,2.7223843e+00
4.2513573e+05,4.5195119e+06,3.6208069e+03,2.2454474e+03,1.8392853e+03,3.7147513e-01,1.6240084e+00
4.2490300e+05,4.5197941e+06,3.6487135e+03,2.5580947e+03,2.2912428e+03,1.0649118e-01,1.1521815e+00
