func,iter,xcen,ycen,depth,dVol
9.478706e+00,10,4.2630535e+05,4.5187933e+06,2.6987352e+03,5.3913300e+06
9.479163e+00,11,4.2630078e+05,4.5187829e+06,2.7152393e+03,5.3843498e+06
9.479292e+00,11,4.2632304e+05,4.5187586e+06,2.6739686e+03,5.3053710e+06
9.480492e+00,10,4.2629428e+05,4.5187798e+06,2.6506087e+03,5.2200783e+06
9.480744e+00,11,4.2631854e+05,4.5187892e+06,2.6904960e+03,5.3270434e+06
9.481100e+00,11,4.2629968e+05,4.5187760e+06,2.7247396e+03,5.4051101e+06
9.481114e+00,11,4.2628628e+05,4.5187727e+06,2.6971485e+03,5.4238817e+06
9.481259e+00,10,4.2630181e+05,4.5187450e+06,2.7224389e+03,5.5012405e+06
9.481386e+00,11,4.2630830e+05,4.5187706e+06,2.6501257e+03,5.2077122e+06
9.481680e+00,11,4.2630929e+05,4.5187765e+06,2.6668086e+03,5.2274121e+06
9.482932e+00,11,4.2633112e+05,4.5187679e+06,2.7245707e+03,5.4795075e+06
9.483027e+00,11,4.2631390e+05,4.5187416e+06,2.7346019e+03,5.5142095e+06
9.483104e+00,11,4.2628986e+05,4.5187535e+06,2.6771960e+03,5.2830247e+06
9.483230e+00,11,4.2628407e+05,4.5187713e+06,2.6656554e+03,5.2901992e+06
9.483278e+00,11,4.2632225e+05,4.5187538e+06,2.6917588e+03,5.3956776e+06
9.483338e+00,11,4.2631461e+05,4.5187664e+06,2.6694635e+03,5.3409516e+06
9.483615e+00,10,4.2631653e+05,4.5187612e+06,2.7305408e+03,5.5426277e+06
9.483726e+00,11,4.2631442e+05,4.5187887e+06,2.6546418e+03,5.2634494e+06
9.484109e+00,11,4.2628802e+05,4.5187476e+06,2.6881347e+03,5.3457306e+06
9.485563e+00,11,4.2629589e+05,4.5187833e+06,2.6584362e+03,5.2874022e+06
9.485564e+00,11,4.2632041e+05,4.5187578e+06,2.7140397e+03,5.3760349e+06
9.486448e+00,10,4.2631608e+05,4.5187479e+06,2.7103596e+03,5.3740627e+06
9.487709e+00,11,4.2630566e+05,4.5187846e+06,2.6452482e+03,5.1999366e+06
9.487869e+00,11,4.2631703e+05,4.5187618e+06,2.6590148e+03,5.2696944e+06
9.488179e+00,10,4.2630301e+05,4.5187540e+06,2.6659998e+03,5.2579850e+06
9.489030e+00,11,4.2631666e+05,4.5187627e+06,2.6869688e+03,5.2847755e+06
9.489779e+00,11,4.2628976e+05,4.5187554e+06,2.6696867e+03,5.2655192e+06
9.489802e+00,11,4.2629034e+05,4.5187765e+06,2.6811715e+03,5.2631368e+06
9.489899e+00,11,4.2630792e+05,4.5187565e+06,2.7437189e+03,5.4649116e+06
9.490299e+00,11,4.2633141e+05,4.5187621e+06,2.6904713e+03,5.3854396e+06
9.491366e+00,10,4.2632513e+05,4.5187556e+06,2.7189004e+03,5.4036682e+06
9.491934e+00,11,4.2631524e+05,4.5187778e+06,2.6830779e+03,5.2698893e+06
9.492360e+00,11,4.2630769e+05,4.5187634e+06,2.7240999e+03,5.5344173e+06
9.493440e+00,11,4.2628891e+05,4.5187719e+06,2.6869378e+03,5.2757650e+06
9.493595e+00,11,4.2630615e+05,4.5187633e+06,2.6735083e+03,5.2398444e+06
9.495169e+00,11,4.2628399e+05,4.5187678e+06,2.7500264e+03,5.5481844e+06
9.496068e+00,11,4.2628965e+05,4.5187644e+06,2.6545965e+03,5.2376963e+06
9.497370e+00,11,4.2629636e+05,4.5187809e+06,2.6443438e+03,5.2236718e+06
9.497918e+00,11,4.2632359e+05,4.5187449e+06,2.7099194e+03,5.4057684e+06
9.498057e+00,11,4.2630439e+05,4.5187599e+06,2.7687044e+03,5.6073305e+06
9.498526e+00,11,4.2633448e+05,4.5187805e+06,2.6947447e+03,5.3684312e+06
9.498581e+00,11,4.2631945e+05,4.5187624e+06,2.7466051e+03,5.4913613e+06
9.499185e+00,10,4.2628116e+05,4.5187788e+06,2.6699031e+03,5.3098289e+06
9.499700e+00,11,4.2630730e+05,4.5187803e+06,2.7454976e+03,5.5479187e+06
9.499968e+00,11,4.2631735e+05,4.5187673e+06,2.7487792e+03,5.5852894e+06
9.500158e+00,11,4.2629945e+05,4.5187837e+06,2.6875999e+03,5.4096376e+06
9.500187e+00,11,4.2629801e+05,4.5187732e+06,2.7519342e+03,5.5805769e+06
9.500353e+00,11,4.2630503e+05,4.5187697e+06,2.6779354e+03,5.2429884e+06
9.501147e+00,11,4.2631810e+05,4.5187890e+06,2.7097669e+03,5.4577677e+06
9.501311e+00,10,4.2630569e+05,4.5187709e+06,2.7549400e+03,5.5234906e+06
9.502334e+00,10,4.2629442e+05,4.5187790e+06,2.6501012e+03,5.2607929e+06
9.502790e+00,11,4.2627302e+05,4.5187523e+06,2.7222807e+03,5.4312988e+06
9.503441e+00,11,4.2632568e+05,4.5187745e+06,2.6644303e+03,5.3210507e+06
9.503549e+00,10,4.2631368e+05,4.5187744e+06,2.6907928e+03,5.4336538e+06
9.504766e+00,10,4.2630077e+05,4.5187964e+06,2.6576193e+03,5.2550792e+06
9.505918e+00,10,4.2630564e+05,4.5187619e+06,2.6826485e+03,5.4021364e+06
9.506673e+00,11,4.2631030e+05,4.5187934e+06,2.7002568e+03,5.3484738e+06
9.506767e+00,11,4.2631986e+05,4.5187576e+06,2.6624905e+03,5.2524907e+06
9.507135e+00,11,4.2628602e+05,4.5187832e+06,2.6918738e+03,5.3011236e+06
9.507534e+00,11,4.2630693e+05,4.5187603e+06,2.6535502e+03,5.2095007e+06
9.507625e+00,10,4.2632611e+05,4.5187588e+06,2.6699059e+03,5.2739965e+06
9.507812e+00,11,4.2630179e+05,4.5187854e+06,2.6895417e+03,5.4185733e+06
9.508633e+00,10,4.2631141e+05,4.5187899e+06,2.7248462e+03,5.4878654e+06
9.508682e+00,11,4.2631578e+05,4.5187593e+06,2.6553162e+03,5.2302114e+06
9.508804e+00,11,4.2630245e+05,4.5187887e+06,2.6483257e+03,5.2571964e+06
9.508885e+00,11,4.2632964e+05,4.5187724e+06,2.6585061e+03,5.2473449e+06
9.508923e+00,11,4.2628991e+05,4.5187628e+06,2.6526263e+03,5.2426770e+06
9.508926e+00,11,4.2628676e+05,4.5187475e+06,2.7574622e+03,5.5940200e+06
9.509999e+00,10,4.2628509e+05,4.5187732e+06,2.7270129e+03,5.5208201e+06
9.511049e+00,11,4.2631284e+05,4.5187556e+06,2.6614953e+03,5.2354322e+06
9.511567e+00,11,4.2633475e+05,4.5187591e+06,2.6978289e+03,5.4098143e+06
9.512034e+00,9,4.2629964e+05,4.5187620e+06,2.6494186e+03,5.2476804e+06
9.512465e+00,11,4.2629266e+05,4.5187643e+06,2.6509631e+03,5.2530430e+06
9.512627e+00,11,4.2630229e+05,4.5187928e+06,2.6452318e+03,5.1967593e+06
9.512911e+00,11,4.2630317e+05,4.5187822e+06,2.6496659e+03,5.2757043e+06
9.512983e+00,11,4.2628396e+05,4.5187815e+06,2.6731296e+03,5.3410124e+06
9.513023e+00,10,4.2631357e+05,4.5187654e+06,2.6629022e+03,5.2125645e+06
9.513584e+00,11,4.2632064e+05,4.5187698e+06,2.6850157e+03,5.2709821e+06
9.514537e+00,11,4.2629639e+05,4.5187413e+06,2.7666291e+03,5.6130106e+06
9.514680e+00,11,4.2628970e+05,4.5187803e+06,2.7081588e+03,5.3404638e+06
9.515013e+00,11,4.2632210e+05,4.5187943e+06,2.6631619e+03,5.2505430e+06
9.515182e+00,9,4.2627661e+05,4.5187809e+06,2.7188181e+03,5.4420088e+06
9.515232e+00,11,4.2630208e+05,4.5187477e+06,2.6739990e+03,5.2658495e+06
9.515301e+00,11,4.2627880e+05,4.5187668e+06,2.7380452e+03,5.4536625e+06
9.515319e+00,11,4.2632747e+05,4.5187609e+06,2.7164713e+03,5.5029927e+06
9.515382e+00,11,4.2631335e+05,4.5187724e+06,2.6444001e+03,5.1772065e+06
9.515490e+00,11,4.2630992e+05,4.5187593e+06,2.6581575e+03,5.2117121e+06
9.515701e+00,11,4.2628579e+05,4.5187916e+06,2.7046130e+03,5.3821419e+06
9.516453e+00,11,4.2628218e+05,4.5187791e+06,2.7021661e+03,5.3283719e+06
9.516567e+00,11,4.2629927e+05,4.5187494e+06,2.6766289e+03,5.2609625e+06
9.517163e+00,10,4.2629375e+05,4.5187966e+06,2.6841624e+03,5.3574626e+06
9.517240e+00,11,4.2628145e+05,4.5187885e+06,2.6680364e+03,5.2687721e+06
9.517285e+00,11,4.2631359e+05,4.5187915e+06,2.6444211e+03,5.1890001e+06
9.517580e+00,11,4.2629518e+05,4.5187920e+06,2.6849380e+03,5.2842227e+06
9.517686e+00,11,4.2632572e+05,4.5187914e+06,2.6663252e+03,5.3177119e+06
9.517788e+00,10,4.2628784e+05,4.5187642e+06,2.6507098e+03,5.2103715e+06
9.517911e+00,10,4.2630899e+05,4.5187825e+06,2.6352023e+03,5.2012067e+06
9.518651e+00,11,4.2632288e+05,4.5187878e+06,2.6925581e+03,5.3131730e+06
9.520461e+00,11,4.2628998e+05,4.5187753e+06,2.7561817e+03,5.5571737e+06
9.520659e+00,11,4.2627901e+05,4.5187870e+06,2.6730739e+03,5.3066665e+06
9.521024e+00,11,4.2628635e+05,4.5187483e+06,2.7216984e+03,5.5105168e+06
9.521087e+00,11,4.2631420e+05,4.5187844e+06,2.7105858e+03,5.3545912e+06
9.521524e+00,11,4.2629717e+05,4.5187492e+06,2.6633727e+03,5.2655590e+06
9.522103e+00,9,4.2632401e+05,4.5187930e+06,2.6507320e+03,5.2345446e+06
9.523506e+00,11,4.2628597e+05,4.5187577e+06,2.6626892e+03,5.2924608e+06
9.525763e+00,10,4.2631810e+05,4.5187444e+06,2.7630161e+03,5.5644050e+06
9.525957e+00,9,4.2628554e+05,4.5187586e+06,2.6992692e+03,5.3020031e+06
9.526143e+00,11,4.2631194e+05,4.5187440e+06,2.7589490e+03,5.5263252e+06
9.526329e+00,10,4.2629759e+05,4.5187972e+06,2.6532839e+03,5.2177583e+06
9.527099e+00,10,4.2632570e+05,4.5187545e+06,2.7418838e+03,5.4706386e+06
9.527296e+00,10,4.2631768e+05,4.5187704e+06,2.6566608e+03,5.3100675e+06
9.527625e+00,11,4.2632309e+05,4.5187652e+06,2.7560454e+03,5.5317477e+06
9.528037e+00,11,4.2631805e+05,4.5187410e+06,2.7326489e+03,5.5380843e+06
9.528071e+00,11,4.2628950e+05,4.5187325e+06,2.7473070e+03,5.5202089e+06
9.528151e+00,11,4.2632950e+05,4.5187471e+06,2.7443521e+03,5.5165614e+06
9.528653e+00,10,4.2633661e+05,4.5187806e+06,2.6662875e+03,5.2991059e+06
9.528946e+00,11,4.2629516e+05,4.5187539e+06,2.6539497e+03,5.2362893e+06
9.529082e+00,11,4.2630156e+05,4.5187822e+06,2.6783369e+03,5.3940614e+06
9.529502e+00,11,4.2630151e+05,4.5187366e+06,2.6946983e+03,5.3442160e+06
9.529551e+00,11,4.2632415e+05,4.5187496e+06,2.7530757e+03,5.5958056e+06
9.529610e+00,11,4.2629818e+05,4.5187760e+06,2.7374037e+03,5.5697660e+06
9.529699e+00,11,4.2631754e+05,4.5187759e+06,2.6352128e+03,5.1975051e+06
9.530171e+00,11,4.2629438e+05,4.5187399e+06,2.7330896e+03,5.5440287e+06
9.531270e+00,11,4.2633719e+05,4.5187713e+06,2.7307853e+03,5.4930889e+06
9.531583e+00,11,4.2631872e+05,4.5187478e+06,2.7534293e+03,5.6082033e+06
9.532391e+00,11,4.2631408e+05,4.5187990e+06,2.6666498e+03,5.2480734e+06
9.532493e+00,11,4.2630210e+05,4.5187907e+06,2.6655583e+03,5.2141643e+06
9.532597e+00,11,4.2629626e+05,4.5187735e+06,2.6405484e+03,5.2333660e+06
9.533268e+00,11,4.2632326e+05,4.5187467e+06,2.6890225e+03,5.3157410e+06
9.533315e+00,11,4.2627100e+05,4.5187525e+06,2.6912439e+03,5.3515306e+06
9.533460e+00,11,4.2632143e+05,4.5187875e+06,2.7205644e+03,5.5031738e+06
9.533924e+00,11,4.2633497e+05,4.5187687e+06,2.7232061e+03,5.4222838e+06
9.533972e+00,11,4.2628885e+05,4.5187678e+06,2.6414169e+03,5.1943585e+06
9.534032e+00,11,4.2632428e+05,4.5187970e+06,2.6653453e+03,5.3080704e+06
9.534088e+00,11,4.2627454e+05,4.5187435e+06,2.7481666e+03,5.5155202e+06
9.534353e+00,11,4.2633424e+05,4.5187634e+06,2.6933149e+03,5.3208079e+06
9.534502e+00,11,4.2629158e+05,4.5187965e+06,2.7054117e+03,5.3806417e+06
9.535510e+00,11,4.2629393e+05,4.5187376e+06,2.7235089e+03,5.5083573e+06
9.536470e+00,11,4.2631063e+05,4.5187922e+06,2.6544000e+03,5.1903879e+06
9.536643e+00,11,4.2632209e+05,4.5187986e+06,2.6561469e+03,5.2410359e+06
9.536881e+00,11,4.2629538e+05,4.5187974e+06,2.6716027e+03,5.3342143e+06
9.537249e+00,11,4.2634168e+05,4.5187686e+06,2.6881793e+03,5.3628439e+06
9.537375e+00,11,4.2629178e+05,4.5187505e+06,2.7434831e+03,5.5917594e+06
9.537564e+00,11,4.2627659e+05,4.5187727e+06,2.6640636e+03,5.2985285e+06
9.537861e+00,11,4.2628822e+05,4.5187958e+06,2.7073493e+03,5.4037950e+06
9.538149e+00,11,4.2632114e+05,4.5187481e+06,2.7675910e+03,5.5820290e+06
9.538691e+00,11,4.2629517e+05,4.5187691e+06,2.6391172e+03,5.2201589e+06
9.538845e+00,11,4.2631542e+05,4.5187867e+06,2.6588775e+03,5.3242387e+06
9.539270e+00,11,4.2629788e+05,4.5187752e+06,2.7198122e+03,5.5308592e+06
9.539768e+00,11,4.2628754e+05,4.5187647e+06,2.6469129e+03,5.2388557e+06
9.539832e+00,9,4.2633547e+05,4.5187518e+06,2.7109241e+03,5.3959154e+06
9.540363e+00,11,4.2630713e+05,4.5187996e+06,2.6756838e+03,5.3540083e+06
9.541181e+00,11,4.2633183e+05,4.5187775e+06,2.6470498e+03,5.2194072e+06
9.541233e+00,9,4.2632571e+05,4.5187599e+06,2.6754539e+03,5.3721250e+06
9.541310e+00,11,4.2631387e+05,4.5187998e+06,2.6898293e+03,5.3197651e+06
