xcen,ycen,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.2677883e+05,4.5178941e+06,4.8957886e+03,2.2779832e+07,3.5135526e+07,3.4230695e+07,1.3390603e+06,3.1647719e+06,-3.9712027e+06
4.2677618e+05,4.5178353e+06,4.8282926e+03,2.2152294e+07,3.4979676e+07,3.3743128e+07,1.8102827e+06,3.3134305e+06,-4.0971177e+06
4.2678998e+05,4.5178562e+06,4.8891239e+03,2.2113914e+07,3.5048228e+07,3.4142433e+07,1.4279413e+06,3.1698457e+06,-4.1811504e+06
4.2675956e+05,4.5178532e+06,4.9119024e+03,2.2397066e+07,3.5431186e+07,3.4086602e+07,1.3360671e+06,3.1553651e+06,-4.2498233e+06
4.2679517e+05,4.5179252e+06,4.8691739e+03,2.2356577e+07,3.5450159e+07,3.4156885e+07,1.6327758e+06,3.0056603e+06,-4.1356715e+06
4.2680017e+05,4.5179401e+06,4.8931061e+03,2.2275198e+07,3.3804121e+07,3.2754221e+07,9.4670886e+05,3.7971712e+06,-3.5329916e+06
4.2676029e+05,4.5178608e+06,4.8780443e+03,2.3054435e+07,3.4930937e+07,3.4262146e+07,1.4682555e+06,3.2016622e+06,-3.9613672e+06
4.2681250e+05,4.5179253e+06,4.8857612e+03,2.1473278e+07,3.5316380e+07,3.3814242e+07,1.2425057e+06,3.1246383e+06,-4.2093597e+06
4.2676149e+05,4.5178695e+06,4.8930198e+03,2.2117327e+07,3.5013676e+07,3.4480073e+07,1.3803252e+06,3.0780618e+06,-4.1239988e+06
4.2680902e+05,4.5178401e+06,4.9269912e+03,2.2158002e+07,3.4768350e+07,3.3986602e+07,1.1181109e+06,3.2789179e+06,-4.2242468e+06
4.2678251e+05,4.5178498e+06,4.8751663e+03,2.2832718e+07,3.4972588e+07,3.3444882e+07,1.3978975e+06,3.4472158e+06,-3.9560657e+06
