func,iter,xtlc,ytlc,dtlc,length,opening
2.144167e+01,10,4.2551149e+05,4.5195250e+06,4.1874513e+03,1.4269706e+03,3.3272974e+00
2.144239e+01,11,4.2530310e+05,4.5194841e+06,3.7400181e+03,1.8985413e+03,2.1355153e+00
2.144438e+01,9,4.2540235e+05,4.5195627e+06,4.0537863e+03,1.5035112e+03,2.9934177e+00
2.144527e+01,11,4.2552502e+05,4.5195763e+06,3.7456672e+03,1.4207123e+03,2.7183068e+00
2.145136e+01,10,4.2567415e+05,4.5194440e+06,3.9351160e+03,1.2658387e+03,3.4473098e+00
2.145945e+01,9,4.2506261e+05,4.5194932e+06,3.9029448e+03,2.2988246e+03,1.8898100e+00
2.146105e+01,11,4.2552717e+05,4.5196032e+06,3.7327475e+03,1.4094882e+03,2.7425549e+00
2.146825e+01,8,4.2506435e+05,4.5196275e+06,3.8068048e+03,2.3050488e+03,1.8197347e+00
2.147459e+01,11,4.2545572e+05,4.5194481e+06,3.9352841e+03,1.5735506e+03,2.8451432e+00
2.148170e+01,9,4.2522577e+05,4.5194896e+06,3.9753740e+03,1.9824597e+03,2.1682700e+00
2.148196e+01,11,4.2530241e+05,4.5194676e+06,4.0991095e+03,1.8757019e+03,2.4585725e+00
2.148398e+01,10,4.2555321e+05,4.5194978e+06,4.2201826e+03,1.2796808e+03,3.6752018e+00
2.148448e+01,11,4.2531001e+05,4.5196028e+06,3.7347435e+03,1.9943851e+03,2.0844872e+00
2.148734e+01,10,4.2530533e+05,4.5195178e+06,3.8590122e+03,1.9350319e+03,2.1203306e+00
2.149251e+01,10,4.2555854e+05,4.5196162e+06,3.7054048e+03,1.3038781e+03,3.0672431e+00
2.150450e+01,11,4.2534679e+05,4.5194962e+06,3.7804807e+03,1.5995016e+03,2.5109779e+00
2.150872e+01,11,4.2527737e+05,4.5194751e+06,3.9114151e+03,2.0267774e+03,2.1526601e+00
2.150968e+01,11,4.2495052e+05,4.5195666e+06,3.8265639e+03,2.5057350e+03,1.7320871e+00
2.151277e+01,11,4.2517229e+05,4.5195136e+06,3.7837745e+03,1.9837426e+03,2.0300823e+00
2.151623e+01,11,4.2567127e+05,4.5195673e+06,3.8250339e+03,1.2772349e+03,3.3573618e+00
2.152050e+01,11,4.2551717e+05,4.5194484e+06,4.1752856e+03,1.3031408e+03,3.5336488e+00
2.152536e+01,10,4.2536579e+05,4.5194439e+06,3.8918120e+03,1.7853763e+03,2.3701026e+00
2.152645e+01,10,4.2556132e+05,4.5195062e+06,3.7061649e+03,1.3978521e+03,2.7845628e+00
2.153093e+01,10,4.2524098e+05,4.5194666e+06,3.7667765e+03,1.9366335e+03,2.1304103e+00
2.153100e+01,10,4.2519666e+05,4.5196320e+06,3.6690067e+03,2.0254836e+03,1.9954209e+00
2.153442e+01,9,4.2532867e+05,4.5194483e+06,4.0250174e+03,1.8188609e+03,2.4174220e+00
2.153734e+01,9,4.2528384e+05,4.5194726e+06,3.9272098e+03,1.9909451e+03,2.2405344e+00
2.153870e+01,10,4.2521774e+05,4.5194498e+06,3.8946038e+03,2.0319321e+03,2.1306858e+00
2.153961e+01,11,4.2524288e+05,4.5196489e+06,3.7862667e+03,2.0020071e+03,2.0499995e+00
2.154066e+01,8,4.2567207e+05,4.5194783e+06,4.1502613e+03,1.2586052e+03,3.6000213e+00
2.154179e+01,11,4.2508180e+05,4.5195588e+06,3.9209557e+03,2.1800838e+03,1.9611183e+00
2.154501e+01,10,4.2529211e+05,4.5195971e+06,3.9176728e+03,1.9469103e+03,2.1614488e+00
2.154649e+01,11,4.2547218e+05,4.5195174e+06,3.7907516e+03,1.3793562e+03,3.0566394e+00
2.155404e+01,10,4.2544942e+05,4.5195522e+06,4.0210711e+03,1.6070634e+03,2.6595773e+00
2.155853e+01,11,4.2508007e+05,4.5195373e+06,3.9305541e+03,2.1328180e+03,2.0473397e+00
2.156134e+01,11,4.2543975e+05,4.5194733e+06,3.9099829e+03,1.7565756e+03,2.4681456e+00
2.156285e+01,11,4.2516042e+05,4.5196281e+06,3.8183612e+03,2.0309395e+03,2.0430817e+00
2.156453e+01,10,4.2533505e+05,4.5196224e+06,3.9777480e+03,1.7743506e+03,2.4674880e+00
2.156930e+01,8,4.2548581e+05,4.5196297e+06,3.7539091e+03,1.4013974e+03,2.8238119e+00
2.157093e+01,11,4.2507150e+05,4.5195691e+06,3.8902014e+03,2.3880254e+03,1.7984273e+00
2.157364e+01,11,4.2549940e+05,4.5194201e+06,4.1511827e+03,1.4740428e+03,3.1302486e+00
2.157422e+01,11,4.2517790e+05,4.5195891e+06,3.8374304e+03,2.0069730e+03,2.0273854e+00
2.157608e+01,8,4.2534002e+05,4.5194944e+06,3.8814039e+03,1.8998495e+03,2.1911480e+00
2.158436e+01,9,4.2549564e+05,4.5194535e+06,3.7611712e+03,1.4377770e+03,2.8043025e+00
2.158637e+01,11,4.2550129e+05,4.5196273e+06,3.6771682e+03,1.4226301e+03,2.7363375e+00
2.158640e+01,11,4.2515653e+05,4.5195987e+06,3.7380233e+03,1.9954218e+03,1.9947865e+00
2.158943e+01,10,4.2519554e+05,4.5195994e+06,3.8532502e+03,2.2065315e+03,1.9132815e+00
2.159416e+01,10,4.2560232e+05,4.5194246e+06,3.8950929e+03,1.1300354e+03,3.8012419e+00
2.160040e+01,11,4.2543851e+05,4.5195155e+06,3.7973043e+03,1.3684250e+03,3.0033194e+00
2.160178e+01,11,4.2557790e+05,4.5194260e+06,4.0790035e+03,1.4349517e+03,3.1845928e+00
2.160325e+01,11,4.2530244e+05,4.5196060e+06,3.9615790e+03,1.9721605e+03,2.2340999e+00
2.160381e+01,11,4.2554636e+05,4.5194433e+06,3.8975085e+03,1.2277610e+03,3.3463509e+00
2.160830e+01,11,4.2556291e+05,4.5195499e+06,3.7520786e+03,1.3783362e+03,2.7959573e+00
2.160873e+01,11,4.2546077e+05,4.5194477e+06,3.9747440e+03,1.4316864e+03,3.1605831e+00
2.160996e+01,11,4.2521850e+05,4.5195998e+06,3.9748263e+03,2.0002352e+03,2.1673952e+00
2.161366e+01,11,4.2550695e+05,4.5194558e+06,3.7921449e+03,1.3784364e+03,2.8959599e+00
2.161504e+01,11,4.2501574e+05,4.5195662e+06,3.8960144e+03,2.3236692e+03,1.8391835e+00
2.161523e+01,11,4.2553460e+05,4.5195216e+06,4.0793220e+03,1.4951793e+03,3.1595655e+00
2.161743e+01,10,4.2562209e+05,4.5194638e+06,3.8418954e+03,1.2918720e+03,3.1123272e+00
2.162095e+01,10,4.2530580e+05,4.5194257e+06,3.9221183e+03,1.7813686e+03,2.4343304e+00
2.162105e+01,11,4.2530788e+05,4.5196319e+06,3.7497324e+03,1.9404749e+03,2.1627243e+00
2.162253e+01,11,4.2502361e+05,4.5195374e+06,3.8995522e+03,2.2515653e+03,1.9337331e+00
2.162328e+01,10,4.2556422e+05,4.5194605e+06,3.7913911e+03,1.2959219e+03,3.0576094e+00
2.162512e+01,11,4.2559345e+05,4.5196065e+06,3.8854611e+03,1.4742856e+03,2.8478355e+00
2.163256e+01,8,4.2536974e+05,4.5194207e+06,4.0508224e+03,1.6697550e+03,2.6633980e+00
2.163449e+01,10,4.2525968e+05,4.5194636e+06,3.8188169e+03,2.0127029e+03,2.0763390e+00
2.163840e+01,11,4.2545211e+05,4.5194907e+06,3.6954640e+03,1.5579368e+03,2.5936719e+00
2.164379e+01,10,4.2527288e+05,4.5194842e+06,4.0138950e+03,2.0392786e+03,2.2275056e+00
2.164422e+01,10,4.2554208e+05,4.5195395e+06,4.2008954e+03,1.3186587e+03,3.5234948e+00
2.164555e+01,11,4.2526697e+05,4.5195681e+06,3.9876606e+03,2.0484670e+03,2.2262769e+00
2.164799e+01,9,4.2543303e+05,4.5195944e+06,3.8839738e+03,1.3930689e+03,2.9963450e+00
2.165074e+01,11,4.2542438e+05,4.5195276e+06,3.8519263e+03,1.3811516e+03,3.0579738e+00
2.165248e+01,11,4.2557880e+05,4.5194935e+06,3.8863208e+03,1.1717814e+03,3.4231939e+00
2.165958e+01,11,4.2557181e+05,4.5196384e+06,3.7848167e+03,1.4102999e+03,2.8277290e+00
2.166280e+01,11,4.2521203e+05,4.5196201e+06,3.9268004e+03,2.0370214e+03,2.1824870e+00
2.166353e+01,8,4.2491978e+05,4.5195833e+06,3.7120113e+03,2.5365012e+03,1.6562357e+00
2.166512e+01,11,4.2556194e+05,4.5196388e+06,3.8552746e+03,1.2596203e+03,3.3447013e+00
2.167286e+01,11,4.2536190e+05,4.5194651e+06,3.9616022e+03,1.7792289e+03,2.3777130e+00
2.167382e+01,11,4.2528186e+05,4.5195472e+06,3.8449285e+03,1.9967052e+03,2.2202672e+00
2.167663e+01,11,4.2547385e+05,4.5194749e+06,4.2172351e+03,1.4258371e+03,3.2904329e+00
2.167856e+01,10,4.2529303e+05,4.5195310e+06,3.9105122e+03,2.0730774e+03,2.1199672e+00
2.168007e+01,11,4.2516555e+05,4.5195594e+06,4.0055406e+03,1.9725671e+03,2.2697992e+00
2.168397e+01,11,4.2552774e+05,4.5194636e+06,3.7862460e+03,1.2878603e+03,3.0819936e+00
2.168482e+01,9,4.2507542e+05,4.5196407e+06,3.6339990e+03,2.3902703e+03,1.6738595e+00
2.168540e+01,9,4.2491605e+05,4.5195835e+06,3.7213310e+03,2.5370126e+03,1.6606674e+00
2.168772e+01,11,4.2556711e+05,4.5196449e+06,3.8637373e+03,1.3451133e+03,3.1759584e+00
2.168845e+01,8,4.2551989e+05,4.5196286e+06,3.7696745e+03,1.2985937e+03,3.0756010e+00
