func,iter,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
1.751456e+01,17,3.7224991e+03,1.1361257e+07,1.2913380e+07,2.0631884e+07,7.5997118e+05,9.6839073e+05,-3.3877221e+05
1.752188e+01,16,3.7845950e+03,1.0213118e+07,1.1403039e+07,2.1568709e+07,-8.3756767e+05,5.8258438e+04,-4.5809013e+05
1.752296e+01,17,3.4766527e+03,1.4287842e+07,1.1847540e+07,1.8959605e+07,5.8887403e+05,2.0133636e+06,-7.9823402e+05
1.757497e+01,17,3.7337882e+03,1.5730117e+07,1.3622123e+07,2.1753246e+07,-2.1320273e+04,1.1773827e+06,-6.2961799e+05
1.767644e+01,15,3.8030886e+03,1.3356556e+07,1.3743937e+07,2.1251115e+07,-3.5658816e+05,1.6195393e+06,-2.1090010e+05
1.770047e+01,17,3.6511304e+03,1.3393861e+07,1.6926520e+07,2.3279895e+07,-6.1432623e+05,-9.3274817e+05,-1.2827356e+06
1.772476e+01,16,3.8704871e+03,1.3877478e+07,1.4867319e+07,2.3176085e+07,-5.7755333e+05,5.8654591e+05,5.1940628e+05
1.774470e+01,17,3.8216135e+03,1.5425733e+07,1.7328204e+07,2.3504621e+07,-5.7417243e+05,1.4570386e+05,-1.5614869e+05
1.775330e+01,17,3.8837855e+03,1.3327267e+07,1.1552201e+07,2.2265655e+07,-1.0995265e+06,1.6891353e+06,7.9188012e+04
1.775347e+01,16,3.9163284e+03,1.4726472e+07,1.7640853e+07,2.5563561e+07,-1.8753908e+05,-2.6352271e+05,-3.4510451e+05
1.778976e+01,17,3.7762760e+03,1.2898916e+07,1.3674923e+07,2.0847744e+07,-8.3410585e+05,1.5449454e+06,-2.7556692e+04
1.788180e+01,17,3.3510696e+03,1.4062230e+07,1.5786559e+07,2.1349770e+07,-2.2728490e+05,7.4389823e+05,1.9540338e+05
1.789150e+01,17,3.7176208e+03,1.6329148e+07,1.4321054e+07,2.2589945e+07,-5.3132432e+05,2.2072832e+05,4.9101043e+05
1.792294e+01,17,3.7343660e+03,1.0417443e+07,9.8578927e+06,1.9640301e+07,-3.7223173e+05,2.0267398e+06,-2.8523531e+05
1.795546e+01,16,3.8572240e+03,1.1005411e+07,1.0441295e+07,2.1534314e+07,-5.9554821e+05,1.4930889e+06,-4.0115653e+05
1.796352e+01,15,3.7889961e+03,1.2500664e+07,1.1868375e+07,2.1879957e+07,4.2982441e+04,1.3361080e+06,-7.9982920e+05
1.799201e+01,17,3.7585201e+03,9.6091294e+06,1.2906136e+07,2.0790606e+07,-1.5063105e+04,1.0396595e+06,-4.8062787e+05
1.802098e+01,17,3.7658322e+03,1.0235151e+07,1.2051004e+07,2.1670918e+07,-7.1897567e+05,1.2210066e+06,2.3748474e+05
1.802133e+01,17,3.7617460e+03,1.5276156e+07,1.3428180e+07,2.2657489e+07,2.2136269e+05,9.7300529e+05,-7.9044842e+05
1.804392e+01,15,3.8227320e+03,1.3179619e+07,1.3083151e+07,2.2963816e+07,-6.4790859e+04,1.6012978e+06,2.8546338e+05
1.805960e+01,14,3.5320220e+03,1.4464136e+07,1.3107526e+07,1.8498783e+07,-1.1319496e+06,2.4396346e+06,-2.4053476e+05
1.808771e+01,16,3.5470442e+03,9.3811066e+06,1.4776062e+07,2.1521352e+07,1.9293200e+05,-4.8458796e+04,-7.2757885e+04
1.812715e+01,17,3.7498058e+03,1.2076308e+07,1.6295853e+07,2.2426923e+07,-1.1883843e+06,3.9096160e+05,-6.8833092e+05
1.814169e+01,17,3.6994454e+03,1.4822558e+07,1.4538489e+07,2.1305898e+07,-3.6863388e+05,1.6554637e+06,-8.3856047e+05
1.815110e+01,16,3.7488152e+03,9.7182361e+06,1.0180230e+07,2.1595800e+07,-7.2454212e+05,6.4033398e+05,-3.3902744e+05
1.815827e+01,15,3.6639239e+03,1.4930532e+07,2.0431775e+07,2.4887104e+07,4.7798812e+04,-1.4759349e+06,3.9225765e+05
1.817435e+01,16,3.5922522e+03,1.4280396e+07,1.8674067e+07,2.2867669e+07,2.4691348e+06,-1.8266861e+05,-6.5773119e+05
1.818102e+01,16,3.7467262e+03,1.8526732e+07,1.7334220e+07,2.3817535e+07,-1.3558668e+06,6.0463890e+05,-1.3395648e+05
1.818183e+01,14,3.9004408e+03,9.8459438e+06,1.2002643e+07,2.2892104e+07,-6.8961229e+05,6.6464903e+05,-2.6280884e+05
1.819626e+01,17,3.8526778e+03,1.0845627e+07,1.2403075e+07,2.2989330e+07,-1.4193567e+06,5.1803083e+05,2.7428845e+04
1.820683e+01,17,3.7935425e+03,1.3417153e+07,1.3055282e+07,2.3306584e+07,-1.4985581e+06,8.0558437e+05,3.2869883e+05
1.822528e+01,17,3.7725344e+03,1.5644478e+07,1.6229621e+07,2.3695936e+07,-1.1499479e+06,1.2765996e+06,-1.2836260e+05
1.825271e+01,16,3.5729267e+03,1.5972206e+07,1.9579388e+07,2.3921614e+07,-1.8347104e+06,-1.2228268e+06,-4.2644287e+05
1.825383e+01,11,3.6447356e+03,1.2884637e+07,1.2292287e+07,2.1251297e+07,5.5155518e+05,1.5989178e+06,-7.7151066e+05
1.831624e+01,16,3.7880085e+03,1.6253199e+07,1.9793219e+07,2.6430637e+07,1.1594351e+06,-9.1085477e+05,-6.6711755e+05
1.832294e+01,17,3.8379698e+03,1.5250796e+07,1.5597442e+07,2.4154216e+07,1.5168614e+06,8.3174288e+05,4.0469337e+04
1.832777e+01,17,3.8366440e+03,1.0841887e+07,1.0374456e+07,2.2539981e+07,-5.6878966e+05,5.7894968e+05,9.5914064e+04
1.832909e+01,17,3.8017833e+03,1.5049355e+07,1.5601485e+07,2.2589217e+07,-1.7515979e+06,1.5175441e+06,1.2672086e+05
1.833932e+01,17,3.8629151e+03,1.4119759e+07,1.5971489e+07,2.3367636e+07,2.9364937e+05,1.6222135e+06,-2.0418596e+05
1.839041e+01,17,3.9402041e+03,1.1963983e+07,1.5471233e+07,2.4689869e+07,3.9563577e+05,2.4721601e+05,-7.7465181e+05
1.839289e+01,17,3.3340649e+03,1.4482021e+07,1.9241170e+07,2.3440258e+07,-5.7292556e+05,-1.6177667e+06,2.6810182e+05
1.841994e+01,17,3.8856310e+03,1.3051312e+07,1.7184065e+07,2.4665516e+07,-3.3620217e+03,5.8319581e+05,3.5762402e+05
1.844786e+01,16,3.8753811e+03,1.1138087e+07,1.5303097e+07,2.4005770e+07,-9.2432164e+05,-6.6286352e+05,-8.9129155e+05
1.854269e+01,16,3.5230830e+03,2.0365536e+07,1.5809362e+07,2.2261120e+07,4.1133151e+05,1.4291571e+06,2.1688682e+04
1.856374e+01,15,3.8325148e+03,1.5328091e+07,1.2645424e+07,2.2118817e+07,-4.9126908e+05,1.7848819e+06,1.0816461e+06
1.859804e+01,17,3.5756146e+03,1.8375654e+07,1.6164465e+07,2.1385398e+07,7.1049656e+05,1.8314535e+06,-6.9717065e+05
1.862083e+01,17,3.5250103e+03,1.5394441e+07,1.2177396e+07,1.9842597e+07,-1.8624604e+06,8.5273331e+05,-5.9316116e+05
1.868817e+01,17,3.9905203e+03,1.3512947e+07,1.6123566e+07,2.5029556e+07,-7.7116929e+05,3.6071292e+05,-3.3331886e+05
1.870051e+01,15,3.6153960e+03,1.6720439e+07,1.6316748e+07,2.2636373e+07,2.7619237e+05,-1.9113720e+05,7.2609737e+05
1.871139e+01,16,3.9282476e+03,1.4089575e+07,1.6660469e+07,2.5735748e+07,-8.3492278e+04,-1.6368041e+05,4.5648089e+05
1.871862e+01,17,3.9232582e+03,1.3052614e+07,1.7093922e+07,2.5686759e+07,-1.0908347e+06,-5.8387790e+05,-3.1625467e+05
1.872515e+01,16,3.7915803e+03,1.4149541e+07,1.5840535e+07,2.1787003e+07,-7.5727663e+05,1.7428289e+06,4.8921820e+05
1.872803e+01,16,3.9405655e+03,1.2802912e+07,1.5611732e+07,2.4443568e+07,-9.8570974e+05,7.2069899e+05,4.0834239e+05
1.874687e+01,15,3.6754274e+03,1.2485844e+07,1.1933760e+07,2.2751252e+07,-7.0251008e+05,3.6422392e+05,-1.9401790e+05
1.875492e+01,17,3.9612957e+03,1.1922534e+07,1.6759128e+07,2.5405388e+07,6.7974036e+05,-9.8751145e+05,-8.0357016e+05
1.876783e+01,14,3.8208850e+03,1.1808480e+07,1.4590165e+07,2.2636127e+07,-8.9977901e+05,-4.4057518e+05,2.1518627e+05
1.877296e+01,15,3.9985176e+03,1.1751839e+07,1.4617602e+07,2.4572553e+07,5.4925097e+04,6.0432867e+05,2.8211775e+05
1.878040e+01,17,3.5682549e+03,8.6471962e+06,9.8509916e+06,1.8671372e+07,-8.0541977e+05,3.1101019e+05,-3.1639233e+05
1.882053e+01,14,3.8129129e+03,1.2872363e+07,1.0588591e+07,2.2357801e+07,6.7724344e+05,9.8621111e+05,-4.3215915e+05
1.882892e+01,15,3.1923144e+03,1.1525763e+07,8.4947799e+06,1.5572092e+07,-8.2222604e+05,9.4814450e+05,-2.5331327e+05
1.883103e+01,17,3.8521008e+03,9.7097700e+06,1.0273033e+07,2.2132840e+07,-5.4923573e+05,9.8746862e+05,-5.2051227e+05
1.884902e+01,15,3.7981188e+03,1.1888823e+07,1.8508471e+07,2.5062114e+07,5.3696579e+05,-1.2688336e+06,2.7213130e+05
1.885355e+01,17,3.4562090e+03,9.3069642e+06,1.5026828e+07,1.9495899e+07,-1.7282993e+05,5.4935761e+05,-6.5574550e+05
1.887456e+01,17,3.9515811e+03,1.2798843e+07,1.4914020e+07,2.4706484e+07,-1.1697031e+06,5.5744560e+05,3.5123993e+05
1.889022e+01,14,3.7537110e+03,1.3178027e+07,1.6009226e+07,2.2099860e+07,-2.0832151e+06,7.2089154e+05,3.3476644e+05
1.891734e+01,17,3.6987877e+03,8.3457905e+06,1.3600897e+07,2.2452805e+07,-1.5964774e+05,-8.8120025e+05,-1.3091673e+06
1.892068e+01,17,3.9217756e+03,1.2329848e+07,1.0555829e+07,2.1981080e+07,-1.9022995e+06,1.3452150e+06,-5.8067086e+04
1.892780e+01,16,3.7051009e+03,1.2363919e+07,1.9543202e+07,2.6063254e+07,9.6249286e+05,-1.5884255e+06,-3.7027584e+05
1.894254e+01,17,3.6467056e+03,1.0710294e+07,1.0903132e+07,2.0049342e+07,-1.1891435e+06,1.9006692e+06,-3.5859357e+05
1.895078e+01,17,3.6025215e+03,8.7838644e+06,1.1922993e+07,1.9821628e+07,-1.0455657e+06,1.0237269e+06,-5.8877313e+05
1.898368e+01,17,3.7496785e+03,1.2315572e+07,1.4941173e+07,2.1116567e+07,-7.1795209e+05,1.0643964e+06,-8.0414970e+05
1.899090e+01,16,3.8643124e+03,1.1867666e+07,1.1202362e+07,2.0881199e+07,-3.7276541e+05,1.5983864e+06,6.0191403e+05
1.899769e+01,17,3.6495360e+03,1.8166964e+07,1.6677962e+07,2.2812311e+07,-9.2941445e+05,9.0661196e+05,-8.0866215e+05
1.900814e+01,16,3.9224252e+03,1.5524607e+07,1.4811852e+07,2.5195286e+07,-7.9664281e+05,1.5447282e+05,-1.5316840e+05
1.903323e+01,17,3.9048971e+03,1.5008216e+07,1.6435983e+07,2.3348269e+07,-1.2445402e+06,1.2809682e+06,1.5827318e+05
1.903642e+01,13,3.8657075e+03,1.4882225e+07,1.3390630e+07,2.4130534e+07,-9.8214952e+05,9.0870960e+05,-2.6455501e+05
1.908320e+01,17,3.9862635e+03,1.1569017e+07,1.0773708e+07,2.3224458e+07,-5.8713420e+05,1.2325542e+06,-3.1152305e+05
1.909613e+01,14,3.4460461e+03,1.0978286e+07,1.3554049e+07,1.8231708e+07,9.3347263e+05,1.7675454e+06,-4.2813948e+05
1.912234e+01,17,3.5775313e+03,1.2306949e+07,1.3628319e+07,2.1518412e+07,-2.5060775e+06,1.6677807e+05,6.2837961e+05
1.914455e+01,16,3.9320618e+03,1.4999408e+07,1.4961675e+07,2.5285754e+07,2.9107542e+05,5.2331219e+04,4.0059041e+05
1.914526e+01,17,3.3654275e+03,1.4127070e+07,1.8524688e+07,1.9209810e+07,-2.6030521e+05,4.7794757e+05,1.7233929e+05
1.915247e+01,15,3.9762112e+03,1.2430767e+07,1.3800312e+07,2.3810030e+07,-1.1001481e+06,4.2708420e+05,-6.8082538e+05
1.915596e+01,17,3.6095298e+03,1.4957243e+07,1.4018029e+07,1.9224201e+07,-5.2552968e+05,1.5821126e+06,-2.4483578e+05
1.917591e+01,16,3.8795790e+03,1.3977698e+07,1.5593364e+07,2.5220993e+07,-1.3874093e+06,-5.0755309e+04,-2.3583645e+05
1.918267e+01,16,3.7198008e+03,1.5730826e+07,1.3720353e+07,2.0931428e+07,-1.0683319e+06,9.1478386e+05,-3.7021375e+05
1.919524e+01,17,3.7900213e+03,9.0693878e+06,8.5792545e+06,2.0430005e+07,-1.2201112e+06,3.9776555e+05,-5.3064377e+04
1.921034e+01,17,4.0420927e+03,1.0134317e+07,1.0846431e+07,2.3507986e+07,-3.9572794e+05,5.8666231e+05,-1.8028310e+05
1.926463e+01,17,3.9556834e+03,1.0193162e+07,1.3596782e+07,2.2642711e+07,2.5828479e+04,2.3228459e+05,-3.0902944e+05
1.927825e+01,16,3.4579887e+03,1.8244093e+07,2.1382103e+07,2.1589119e+07,3.5611658e+05,1.5813259e+06,-7.2429121e+04
1.928428e+01,17,3.7277711e+03,1.1668834e+07,1.3144036e+07,2.2352775e+07,-7.3291958e+05,1.4045851e+06,-2.4338611e+05
1.933711e+01,16,3.8908590e+03,1.5724353e+07,1.5545123e+07,2.4507874e+07,4.7440068e+05,-6.7299824e+04,-7.6049422e+05
1.935365e+01,16,3.8364705e+03,1.2050565e+07,8.4788431e+06,2.1255296e+07,-1.0582341e+06,1.1391007e+06,-4.5755377e+05
1.938122e+01,16,3.8411093e+03,1.6194868e+07,1.4573217e+07,2.4493976e+07,-1.1148776e+06,1.2808260e+05,-4.5490170e+05
1.938393e+01,15,3.8313411e+03,1.2748467e+07,1.6329529e+07,2.2220169e+07,-2.2330815e+05,1.5740213e+06,2.5593565e+04
1.939165e+01,16,4.0065600e+03,1.2112200e+07,1.1485131e+07,2.2696005e+07,-1.0007675e+06,8.3558400e+05,-1.2336177e+05
1.939279e+01,17,3.8373143e+03,1.1518179e+07,1.1701366e+07,2.2958586e+07,1.0434759e+06,-2.1829452e+05,-5.8919756e+05
1.939574e+01,17,3.8145207e+03,1.2242696e+07,1.5998836e+07,2.2500373e+07,-1.1265531e+06,-2.6841613e+05,-6.8518782e+05
1.940663e+01,16,3.9013321e+03,1.8599008e+07,2.0054801e+07,2.6405051e+07,8.1586034e+05,4.0529029e+05,-8.3429044e+04
1.943399e+01,15,3.8615467e+03,9.2980513e+06,1.4994925e+07,2.2469388e+07,4.3818921e+05,-9.0975029e+04,-9.9113078e+04
1.944322e+01,17,4.0473810e+03,1.1111306e+07,1.3597742e+07,2.3610069e+07,-6.6900078e+05,6.2654118e+05,-3.2880084e+05
1.944664e+01,17,3.9796210e+03,1.2900412e+07,1.0348440e+07,2.3513137e+07,-6.7817827e+05,1.2839251e+06,1.9649428e+05
1.945880e+01,16,4.0079133e+03,1.5355449e+07,1.7299079e+07,2.6111973e+07,-2.9543966e+05,4.8964440e+05,-3.0754637e+05
1.947060e+01,17,3.9786661e+03,1.1291719e+07,1.1875068e+07,2.4382391e+07,-6.0708081e+05,2.0690769e+05,-3.5442858e+05
1.947567e+01,14,3.7735663e+03,6.9779436e+06,1.3596672e+07,2.1723566e+07,6.0029308e+05,-2.3460793e+05,-8.1395767e+05
1.948427e+01,17,3.8846417e+03,1.2649565e+07,1.6253678e+07,2.5061174e+07,1.6046646e+05,1.4358072e+05,-1.0693852e+06
1.948482e+01,17,3.8832719e+03,1.5023568e+07,1.8529482e+07,2.6355998e+07,-4.2245851e+05,-1.6118519e+06,-5.0249480e+05
1.949436e+01,16,3.6789908e+03,1.8807939e+07,1.9991531e+07,2.3021879e+07,3.7821964e+05,1.0376902e+06,-6.2338154e+05
1.949955e+01,17,3.7548824e+03,9.2331857e+06,1.2192450e+07,2.1295191e+07,-5.0402859e+05,1.4919223e+06,-2.0200669e+05
1.952159e+01,17,3.8799589e+03,1.7497001e+07,2.0166112e+07,2.5812395e+07,1.6083956e+06,3.0182784e+05,5.4276548e+04
1.955154e+01,17,3.9262832e+03,1.1104333e+07,1.4932078e+07,2.4918095e+07,-1.0578402e+06,5.1796480e+03,-3.9853620e+05
1.955970e+01,16,3.7280110e+03,1.5562830e+07,1.5449655e+07,2.1084318e+07,7.0605928e+05,1.6101847e+06,-6.2762935e+05
1.956214e+01,16,3.7999211e+03,1.2907668e+07,1.6709024e+07,2.3507562e+07,-3.0380079e+05,-1.2875373e+06,-5.4736152e+05
1.957323e+01,16,3.7326854e+03,1.1124388e+07,1.8123239e+07,2.5362694e+07,2.0305944e+06,-1.9385908e+06,-8.3032883e+05
1.958373e+01,16,3.8924459e+03,1.0339443e+07,1.4840335e+07,2.4487366e+07,-7.9273293e+05,-9.8028858e+05,3.6117311e+05
1.958712e+01,17,3.8417541e+03,1.2843852e+07,1.3944766e+07,2.4718103e+07,5.8626575e+05,-1.5882952e+05,3.6727273e+05
1.959828e+01,14,3.5983058e+03,1.0628896e+07,1.8497224e+07,2.5046218e+07,4.3159180e+05,-2.7280550e+06,-1.2279577e+06
1.960018e+01,15,3.7600588e+03,2.0043892e+07,1.6033841e+07,2.2411302e+07,-9.4049321e+05,1.8455847e+06,6.6297462e+05
1.960494e+01,17,3.9683898e+03,1.5638284e+07,1.3625614e+07,2.4381745e+07,3.3590865e+05,1.0093352e+06,6.3176005e+05
1.961500e+01,15,3.9461338e+03,1.6898389e+07,1.9408064e+07,2.6310027e+07,7.1542480e+05,-5.5374233e+05,-2.1656843e+05
1.961852e+01,14,3.9460257e+03,1.1836668e+07,1.2599645e+07,2.3267341e+07,-1.7898643e+06,6.5782577e+05,7.9982074e+05
1.962071e+01,17,3.8115793e+03,1.6173955e+07,1.5551971e+07,2.4457179e+07,-1.1549619e+06,-5.5951408e+05,-5.5401461e+05
1.962117e+01,17,3.9331894e+03,1.4355862e+07,1.3726679e+07,2.2974274e+07,9.9104489e+03,6.6527045e+05,3.7517204e+05
1.963260e+01,17,3.7657271e+03,1.0567990e+07,1.8323492e+07,2.6038543e+07,2.8880454e+05,-2.3356572e+06,-9.7722353e+05
1.963561e+01,17,4.0359636e+03,9.3474371e+06,1.0384337e+07,2.2853931e+07,1.3345903e+05,7.5217266e+05,-6.1256924e+05
1.964075e+01,17,4.0507310e+03,1.4663959e+07,1.4414537e+07,2.5274564e+07,-1.0526470e+06,6.7437948e+05,9.0493561e+04
1.964637e+01,16,3.7236583e+03,1.4709064e+07,1.8077378e+07,2.2514275e+07,1.5086921e+06,1.0448588e+06,-1.0138933e+06
1.966595e+01,17,3.9528668e+03,1.6738411e+07,1.5597610e+07,2.5784037e+07,3.2366313e+04,6.5124785e+05,3.9835661e+05
1.967665e+01,17,3.8894549e+03,1.5778040e+07,1.7361413e+07,2.5696465e+07,-1.0596249e+06,3.6708395e+05,-4.2819369e+05
1.968583e+01,17,4.0279690e+03,1.3526490e+07,1.6216092e+07,2.6544481e+07,4.6785106e+05,-5.6915098e+05,-6.7747602e+04
1.968967e+01,15,3.7838906e+03,1.7110940e+07,1.7835969e+07,2.5130372e+07,-1.3133856e+06,6.0483218e+05,9.7104085e+05
1.970706e+01,15,4.0043191e+03,1.1232878e+07,1.4530617e+07,2.4322833e+07,5.7236929e+05,-5.1758646e+05,-1.4299483e+05
1.971025e+01,15,3.8651945e+03,1.3225429e+07,1.6321743e+07,2.4963377e+07,2.7900910e+04,-8.9709037e+05,-1.4083229e+06
1.972586e+01,16,4.0547893e+03,1.3271352e+07,1.2319483e+07,2.4414629e+07,1.8547270e+04,6.9507483e+05,3.2923812e+05
1.973624e+01,17,3.6871985e+03,1.3909790e+07,8.3823360e+06,1.8457150e+07,-8.6762140e+05,2.5247924e+06,-3.5928946e+05
1.974657e+01,16,3.7123264e+03,1.7812825e+07,1.4173726e+07,2.0451225e+07,-1.0596958e+06,2.3417950e+06,-8.4077234e+03
1.975707e+01,14,3.8003561e+03,1.5955362e+07,1.4606701e+07,2.3912396e+07,-5.6035785e+05,9.5131457e+05,-8.3779702e+05
1.977263e+01,17,3.9784324e+03,8.2134527e+06,9.2488343e+06,2.2564489e+07,-9.1957476e+05,2.7378520e+05,-1.1186069e+05
1.977976e+01,16,3.6641944e+03,1.1353985e+07,2.0178363e+07,2.4324796e+07,-1.5821531e+05,-1.9529256e+06,-1.6279908e+06
1.978152e+01,17,3.7163927e+03,9.7668056e+06,1.5111236e+07,2.3524638e+07,-1.2518719e+06,-1.0113947e+06,-1.1207855e+06
1.979005e+01,17,4.0180550e+03,9.8699622e+06,1.0731467e+07,2.3585007e+07,-1.1574655e+06,7.3352819e+05,-2.3275492e+05
1.979227e+01,16,4.0505501e+03,1.1764014e+07,1.1947180e+07,2.3929343e+07,-1.6297844e+06,1.0056302e+06,8.8003245e+04
1.980647e+01,16,3.7434197e+03,1.1775004e+07,1.8394229e+07,2.5455012e+07,1.9072749e+06,-2.1786228e+06,-1.2772397e+06
1.982356e+01,17,4.0000064e+03,1.6094502e+07,1.7559098e+07,2.5218671e+07,-9.5824516e+05,4.0575158e+05,-1.3269446e+05
1.982412e+01,17,3.9660956e+03,1.1266720e+07,1.8080633e+07,2.4681855e+07,1.1858934e+06,-3.8682869e+05,-4.6451751e+05
1.983005e+01,17,3.6080186e+03,9.3486820e+06,1.2988584e+07,2.2078874e+07,-2.6894230e+05,-1.0970633e+06,2.2202952e+05
1.983090e+01,12,3.7177317e+03,1.3095549e+07,2.2999241e+07,2.5327550e+07,9.0887216e+05,-2.0839290e+06,-6.4294000e+05
1.985070e+01,17,3.7959249e+03,1.0714263e+07,1.0298776e+07,1.9656368e+07,-1.7428437e+06,1.2686283e+06,2.5230048e+05
1.987544e+01,17,3.5413794e+03,7.5120734e+06,1.2295565e+07,1.9573812e+07,1.0049043e+06,3.4542438e+05,-9.6017487e+05
1.988099e+01,16,3.9107400e+03,8.9019517e+06,1.5202351e+07,2.3768582e+07,1.0580737e+06,4.2203150e+05,-7.3781770e+05
1.990676e+01,17,3.9847177e+03,1.1554477e+07,1.4331112e+07,2.4185956e+07,-1.3304198e+06,6.0772431e+05,-6.6229376e+05
1.994867e+01,14,4.1139438e+03,1.0954737e+07,1.1010199e+07,2.3544313e+07,-6.3003139e+05,1.2398969e+06,1.7016639e+05
1.995301e+01,16,3.8039915e+03,6.4591089e+06,1.3610494e+07,2.2858607e+07,1.8711221e+05,-9.5516620e+05,-4.4782317e+05
1.997165e+01,17,4.0024397e+03,9.5450614e+06,1.2385411e+07,2.2829880e+07,4.9860757e+05,3.8570197e+05,-9.6338492e+05
1.997644e+01,17,3.8110718e+03,1.5233431e+07,1.1979580e+07,2.1444188e+07,-1.1135156e+06,7.5239326e+05,2.8041305e+05
1.998675e+01,17,3.8813304e+03,1.5033044e+07,1.7267500e+07,2.5925817e+07,1.1319396e+06,-1.2584275e+06,-7.1231556e+05
1.998995e+01,16,3.6185197e+03,1.1065094e+07,1.2072290e+07,2.1454150e+07,-1.6080111e+05,1.4329748e+06,2.3688301e+05
1.999548e+01,17,3.6380756e+03,9.2084321e+06,1.2305512e+07,1.9038070e+07,-4.8505512e+05,5.5536170e+05,-3.3126817e+05
