xcen,ycen,depth,radius,dP_mu
4.2737147e+05,4.5180112e+06,5.6764944e+03,2.5306186e+03,2.6586160e-04
4.2642645e+05,4.5189096e+06,2.9473696e+03,7.5027255e+02,4.0325882e-03
4.2705226e+05,4.5178319e+06,5.7813599e+03,2.4860931e+03,2.6265538e-04
4.2634589e+05,4.5188974e+06,3.1672065e+03,7.8170366e+02,3.9873055e-03
4.2642185e+05,4.5189447e+06,3.0362496e+03,7.7480740e+02,3.9049879e-03
4.2643064e+05,4.5189402e+06,2.9702494e+03,7.5855767e+02,3.9770657e-03
4.2643862e+05,4.5189608e+06,3.0110229e+03,7.7992896e+02,3.8857848e-03
4.2694285e+05,4.5179056e+06,5.8266412e+03,2.5526296e+03,2.6239789e-04
4.2639428e+05,4.5189146e+06,3.0789403e+03,7.8584604e+02,3.8685707e-03
4.2636973e+05,4.5189153e+06,3.1213886e+03,7.7784945e+02,3.9736883e-03
4.2684403e+05,4.5180039e+06,5.8475056e+03,2.5268008e+03,2.6821248e-04
4.2691128e+05,4.5181429e+06,5.7792963e+03,2.3739082e+03,3.0308432e-04
4.2734215e+05,4.5180040e+06,5.6867666e+03,2.5321244e+03,2.6562463e-04
4.2643811e+05,4.5189362e+06,2.9693017e+03,7.6551317e+02,3.9530690e-03
4.2704661e+05,4.5178427e+06,5.7536179e+03,2.4694142e+03,2.9830708e-04
4.2643708e+05,4.5189432e+06,2.9758318e+03,7.6619421e+02,3.9399934e-03
4.2646275e+05,4.5189459e+06,2.9351023e+03,7.6967591e+02,3.9032207e-03
4.2646328e+05,4.5189552e+06,2.8920267e+03,7.4898586e+02,3.9757833e-03
4.2645821e+05,4.5189608e+06,2.9318113e+03,7.6138172e+02,3.9341094e-03
4.2692089e+05,4.5179314e+06,5.8301553e+03,2.5432912e+03,2.6451173e-04
4.2645319e+05,4.5189321e+06,2.9417624e+03,7.7013468e+02,3.8999767e-03
4.2643446e+05,4.5189358e+06,2.9858487e+03,7.6853563e+02,3.9499088e-03
4.2683962e+05,4.5180303e+06,5.8421797e+03,2.5055609e+03,2.7305861e-04
4.2689174e+05,4.5181199e+06,5.7909364e+03,2.3900551e+03,2.9947665e-04
4.2707491e+05,4.5180085e+06,5.7478095e+03,2.4551781e+03,2.8885354e-04
4.2655173e+05,4.5189583e+06,2.7119347e+03,7.4433430e+02,3.9556257e-03
4.2702621e+05,4.5177232e+06,5.7578038e+03,2.4796735e+03,3.0511984e-04
4.2644981e+05,4.5189490e+06,2.9350953e+03,7.5782947e+02,3.9573904e-03
