xcen,ycen,depth,dVol
4.2654991e+05,4.5186309e+06,3.0639959e+03,6.0291953e+06
4.2651904e+05,4.5186171e+06,3.0757661e+03,6.0487878e+06
4.2652330e+05,4.5186187e+06,3.0544180e+03,6.0624876e+06
4.2652339e+05,4.5186448e+06,3.0819739e+03,6.1150274e+06
4.2644452e+05,4.5185658e+06,3.0195346e+03,6.0856332e+06
4.2655212e+05,4.5186038e+06,2.9473395e+03,5.9306765e+06
4.2654384e+05,4.5186320e+06,3.0532300e+03,6.0485778e+06
4.2655170e+05,4.5186450e+06,3.0359698e+03,6.0487241e+06
4.2647845e+05,4.5186096e+06,3.0708065e+03,6.1222725e+06
4.2655421e+05,4.5186302e+06,3.0295194e+03,5.9988281e+06
4.2657797e+05,4.5186346e+06,2.9782078e+03,5.9772594e+06
4.2650758e+05,4.5186130e+06,3.0611859e+03,6.0716686e+06
4.2652445e+05,4.5186098e+06,2.9727379e+03,6.0073302e+06
4.2650374e+05,4.5186143e+06,3.0621883e+03,6.0814935e+06
4.2647070e+05,4.5185569e+06,2.9569437e+03,5.9774656e+06
4.2651458e+05,4.5185594e+06,2.9030333e+03,5.8637009e+06
4.2655437e+05,4.5186319e+06,3.0290927e+03,6.0191454e+06
4.2653195e+05,4.5186269e+06,2.9933316e+03,6.0314960e+06
4.2652652e+05,4.5186185e+06,2.9571222e+03,6.0173199e+06
4.2655724e+05,4.5186283e+06,3.0175587e+03,5.9809165e+06
4.2656677e+05,4.5186242e+06,2.9682927e+03,5.9661827e+06
4.2653478e+05,4.5186115e+06,2.9946934e+03,5.9874161e+06
4.2643342e+05,4.5185585e+06,2.9060249e+03,6.0718604e+06
4.2652859e+05,4.5186087e+06,2.9679463e+03,5.9839673e+06
4.2648496e+05,4.5185698e+06,2.9595376e+03,5.9795062e+06
4.2652132e+05,4.5185859e+06,2.9276192e+03,5.9308882e+06
4.2653958e+05,4.5186132e+06,2.9942404e+03,5.9845028e+06
4.2653210e+05,4.5186142e+06,2.9625139e+03,5.9865269e+06
4.2650951e+05,4.5186064e+06,2.9154966e+03,6.0174296e+06
4.2653549e+05,4.5186184e+06,2.9971298e+03,5.9999842e+06
4.2648061e+05,4.5185802e+06,2.9307227e+03,6.0247493e+06
4.2646739e+05,4.5185655e+06,2.9502634e+03,6.0049201e+06
4.2646010e+05,4.5185691e+06,2.9150902e+03,6.0366678e+06
4.2649070e+05,4.5185855e+06,2.9485436e+03,6.0026544e+06
4.2647981e+05,4.5185809e+06,2.9161799e+03,6.0140647e+06
4.2648151e+05,4.5185729e+06,2.9076358e+03,5.9885196e+06
4.2650537e+05,4.5185952e+06,2.9479812e+03,6.0025769e+06
4.2650117e+05,4.5185948e+06,2.9295013e+03,6.0048673e+06
4.2648303e+05,4.5185889e+06,2.9121022e+03,6.0339732e+06
4.2651115e+05,4.5186034e+06,2.9594926e+03,6.0084793e+06
4.2647932e+05,4.5185739e+06,2.9218807e+03,6.0048507e+06
4.2645701e+05,4.5185665e+06,2.9340474e+03,6.0333518e+06
4.2646009e+05,4.5185709e+06,2.9234961e+03,6.0437364e+06
4.2648080e+05,4.5185823e+06,2.9369399e+03,6.0177794e+06
4.2644925e+05,4.5185785e+06,2.9223704e+03,6.0782577e+06
4.2648108e+05,4.5185731e+06,2.9024519e+03,5.9863359e+06
4.2648283e+05,4.5185827e+06,2.9374833e+03,6.0207509e+06
4.2650927e+05,4.5186012e+06,2.9191153e+03,5.9994744e+06
4.2649135e+05,4.5185946e+06,2.9093791e+03,6.0289527e+06
4.2649775e+05,4.5185946e+06,2.9263686e+03,6.0128613e+06
4.2649621e+05,4.5185793e+06,2.8879784e+03,5.9716020e+06
4.2646450e+05,4.5185691e+06,2.9179535e+03,6.0211445e+06
4.2646772e+05,4.5185771e+06,2.9361929e+03,6.0360987e+06
