xcen,ycen,depth,radius,dP_mu
4.2856436e+05,4.5193263e+06,5.2584705e+03,2.6437495e+03,1.7365301e-04
4.2617217e+05,4.5187373e+06,3.7320605e+03,9.1593424e+02,4.1601392e-03
4.2850044e+05,4.5195636e+06,5.2478826e+03,2.6477178e+03,1.5629244e-04
4.2616611e+05,4.5187190e+06,3.8492768e+03,9.4637271e+02,3.9305035e-03
4.2618450e+05,4.5187396e+06,3.7750111e+03,9.2337173e+02,4.1054772e-03
4.2615993e+05,4.5187314e+06,3.7868995e+03,9.2545805e+02,4.1077554e-03
4.2615975e+05,4.5187367e+06,3.7724394e+03,9.1890464e+02,4.1611538e-03
4.2849860e+05,4.5195241e+06,5.2521030e+03,2.6538885e+03,1.6031103e-04
4.2617420e+05,4.5187398e+06,3.7920843e+03,9.1879602e+02,4.1657422e-03
4.2616035e+05,4.5187371e+06,3.7742291e+03,9.1852961e+02,4.1571085e-03
4.2850880e+05,4.5194918e+06,5.2580487e+03,2.6571761e+03,1.5333987e-04
4.2856504e+05,4.5193945e+06,5.2471499e+03,2.6459864e+03,1.6323503e-04
4.2857510e+05,4.5193289e+06,5.2653696e+03,2.6515077e+03,1.5573808e-04
4.2617093e+05,4.5187358e+06,3.7178558e+03,9.1428370e+02,4.1688695e-03
4.2855228e+05,4.5194224e+06,5.2576679e+03,2.6472467e+03,1.5423637e-04
4.2616180e+05,4.5187247e+06,3.8198477e+03,9.3643419e+02,4.0175023e-03
4.2617524e+05,4.5187388e+06,3.7754989e+03,9.2177514e+02,4.1262081e-03
4.2615671e+05,4.5187318e+06,3.7785052e+03,9.2355868e+02,4.1278220e-03
4.2615985e+05,4.5187349e+06,3.7741610e+03,9.2086598e+02,4.1455222e-03
4.2850277e+05,4.5195109e+06,5.2545329e+03,2.6552321e+03,1.5746201e-04
4.2617683e+05,4.5187401e+06,3.7813116e+03,9.1757404e+02,4.1702333e-03
4.2616167e+05,4.5187344e+06,3.7649328e+03,9.2028784e+02,4.1435360e-03
4.2851834e+05,4.5194616e+06,5.2636118e+03,2.6602522e+03,1.4681730e-04
4.2855884e+05,4.5193943e+06,5.2528087e+03,2.6486868e+03,1.6052192e-04
4.2857510e+05,4.5193289e+06,5.2653696e+03,2.6515077e+03,1.5573808e-04
4.2617093e+05,4.5187358e+06,3.7178558e+03,9.1428370e+02,4.1688695e-03
4.2855232e+05,4.5194228e+06,5.2578050e+03,2.6471776e+03,1.5406230e-04
4.2616214e+05,4.5187212e+06,3.8357792e+03,9.4179531e+02,3.9741750e-03
4.2618791e+05,4.5187396e+06,3.7556170e+03,9.2122059e+02,4.1078952e-03
4.2615640e+05,4.5187317e+06,3.7784620e+03,9.2365092e+02,4.1271683e-03
4.2616267e+05,4.5187341e+06,3.7821493e+03,9.2318173e+02,4.1228023e-03
4.2850501e+05,4.5195089e+06,5.2553264e+03,2.6545622e+03,1.5648669e-04
4.2616708e+05,4.5187357e+06,3.7822867e+03,9.2140689e+02,4.1402788e-03
4.2616499e+05,4.5187370e+06,3.7638264e+03,9.1835547e+02,4.1537848e-03
4.2854400e+05,4.5193787e+06,5.2683974e+03,2.6607361e+03,1.4966057e-04
4.2855173e+05,4.5194161e+06,5.2552840e+03,2.6484475e+03,1.5726193e-04
4.2858961e+05,4.5192695e+06,5.2702677e+03,2.6542176e+03,1.5669314e-04
4.2616565e+05,4.5187342e+06,3.7356017e+03,9.1734383e+02,4.1544666e-03
4.2861271e+05,4.5192579e+06,5.2677972e+03,2.6458620e+03,1.5406932e-04
4.2616204e+05,4.5186912e+06,3.8762485e+03,9.7550486e+02,3.6811842e-03
4.2618892e+05,4.5187398e+06,3.7521877e+03,9.2073353e+02,4.1096896e-03
4.2613969e+05,4.5187276e+06,3.7837420e+03,9.2408281e+02,4.1424968e-03
4.2616053e+05,4.5187279e+06,3.7982130e+03,9.3047607e+02,4.0637417e-03
4.2851306e+05,4.5194910e+06,5.2563498e+03,2.6539745e+03,1.5581081e-04
4.2616486e+05,4.5187282e+06,3.7992306e+03,9.3060844e+02,4.0627641e-03
4.2616283e+05,4.5187219e+06,3.7916376e+03,9.3620358e+02,4.0018756e-03
4.2852833e+05,4.5193031e+06,5.2949450e+03,2.6856139e+03,1.3427195e-04
4.2857179e+05,4.5193640e+06,5.2593998e+03,2.6475971e+03,1.5621183e-04
4.2860791e+05,4.5191947e+06,5.2764949e+03,2.6576002e+03,1.5782673e-04
4.2616918e+05,4.5187349e+06,3.7232124e+03,9.1573836e+02,4.1602274e-03
4.2858299e+05,4.5192738e+06,5.2773587e+03,2.6598626e+03,1.4709671e-04
4.2616018e+05,4.5186927e+06,3.8696361e+03,9.7303336e+02,3.7043887e-03
4.2619660e+05,4.5187409e+06,3.7699313e+03,9.2435289e+02,4.0773434e-03
4.2615704e+05,4.5187314e+06,3.7756921e+03,9.2376441e+02,4.1239423e-03
4.2616704e+05,4.5187248e+06,3.8035931e+03,9.3528486e+02,4.0103488e-03
4.2855723e+05,4.5192562e+06,5.2818881e+03,2.6707466e+03,1.5774471e-04
4.2616362e+05,4.5187269e+06,3.8135340e+03,9.3332619e+02,4.0461482e-03
4.2616361e+05,4.5187127e+06,3.7920712e+03,9.4626360e+02,3.8981060e-03
4.2851863e+05,4.5193083e+06,5.2980654e+03,2.6901829e+03,1.3199647e-04
4.2858427e+05,4.5192453e+06,5.2788758e+03,2.6627914e+03,1.5105471e-04
4.2860500e+05,4.5191587e+06,5.2856339e+03,2.6661752e+03,1.5394812e-04
4.2616574e+05,4.5187348e+06,3.7070674e+03,9.1265727e+02,4.1846777e-03
4.2858305e+05,4.5192614e+06,5.2785605e+03,2.6613324e+03,1.4855099e-04
4.2614051e+05,4.5186873e+06,3.8565414e+03,9.6022579e+02,3.7151393e-03
4.2618583e+05,4.5186853e+06,3.8778330e+03,9.8874559e+02,3.5040798e-03
4.2616526e+05,4.5187223e+06,3.8036696e+03,9.3752485e+02,3.9873527e-03
4.2616412e+05,4.5187204e+06,3.8098982e+03,9.3849836e+02,3.9739372e-03
4.2859818e+05,4.5191337e+06,5.2893594e+03,2.6715398e+03,1.5871796e-04
4.2615324e+05,4.5187006e+06,3.8435623e+03,9.5596860e+02,3.7964545e-03
4.2615030e+05,4.5186884e+06,3.8592898e+03,9.6860839e+02,3.6687649e-03
4.2853860e+05,4.5192891e+06,5.2922276e+03,2.6818499e+03,1.3779434e-04
4.2858427e+05,4.5192453e+06,5.2788758e+03,2.6627914e+03,1.5105471e-04
4.2865473e+05,4.5189308e+06,5.3029649e+03,2.6766913e+03,1.6407427e-04
4.2614845e+05,4.5187068e+06,3.7916462e+03,9.3806858e+02,3.9237982e-03
4.2860032e+05,4.5191722e+06,5.2859374e+03,2.6666101e+03,1.5233239e-04
4.2614427e+05,4.5186927e+06,3.8480070e+03,9.5636093e+02,3.7592322e-03
4.2617520e+05,4.5186813e+06,3.8809200e+03,9.8826664e+02,3.4986796e-03
4.2616639e+05,4.5187241e+06,3.7986903e+03,9.3653805e+02,4.0004005e-03
4.2615481e+05,4.5186979e+06,3.8226340e+03,9.5343405e+02,3.7908967e-03
4.2862382e+05,4.5190416e+06,5.2955298e+03,2.6738761e+03,1.6114715e-04
4.2616133e+05,4.5186927e+06,3.8592771e+03,9.6872473e+02,3.6783358e-03
4.2615290e+05,4.5186890e+06,3.8591546e+03,9.6924244e+02,3.6649834e-03
4.2858642e+05,4.5191449e+06,5.2956605e+03,2.6788209e+03,1.4949505e-04
4.2858645e+05,4.5192278e+06,5.2805189e+03,2.6641625e+03,1.5225574e-04
4.2865189e+05,4.5189409e+06,5.3022821e+03,2.6764328e+03,1.6380549e-04
4.2614140e+05,4.5186785e+06,3.8120686e+03,9.5854935e+02,3.6785200e-03
4.2859233e+05,4.5191565e+06,5.2915259e+03,2.6736284e+03,1.5070160e-04
4.2615183e+05,4.5186878e+06,3.8595925e+03,9.6748823e+02,3.6689578e-03
4.2617671e+05,4.5186835e+06,3.8766883e+03,9.8661094e+02,3.5164164e-03
4.2615831e+05,4.5187056e+06,3.8176715e+03,9.4988344e+02,3.8446298e-03
4.2615550e+05,4.5186973e+06,3.8264470e+03,9.5504375e+02,3.7789707e-03
4.2861720e+05,4.5190446e+06,5.2993780e+03,2.6783612e+03,1.5641027e-04
4.2616147e+05,4.5186925e+06,3.8594463e+03,9.6897468e+02,3.6757582e-03
4.2614557e+05,4.5186829e+06,3.8406167e+03,9.6532152e+02,3.6620519e-03
4.2857956e+05,4.5191314e+06,5.3004616e+03,2.6848503e+03,1.4809403e-04
4.2860275e+05,4.5191404e+06,5.2887573e+03,2.6699765e+03,1.5476112e-04
4.2863113e+05,4.5189973e+06,5.3016859e+03,2.6787149e+03,1.5892449e-04
4.2615634e+05,4.5186656e+06,3.8598174e+03,9.8523897e+02,3.4547830e-03
4.2858960e+05,4.5191603e+06,5.2923365e+03,2.6746633e+03,1.4960838e-04
4.2615295e+05,4.5186824e+06,3.8595101e+03,9.7179557e+02,3.6168474e-03
4.2617298e+05,4.5186849e+06,3.8732421e+03,9.8288853e+02,3.5482912e-03
4.2615802e+05,4.5186940e+06,3.8242457e+03,9.5910597e+02,3.7364129e-03
4.2615091e+05,4.5186929e+06,3.8146228e+03,9.5141146e+02,3.7791612e-03
4.2861720e+05,4.5190446e+06,5.2993780e+03,2.6783612e+03,1.5641027e-04
4.2615494e+05,4.5186917e+06,3.8450016e+03,9.6201192e+02,3.7153647e-03
4.2614869e+05,4.5186613e+06,3.8733567e+03,9.9110462e+02,3.4120068e-03
4.2857410e+05,4.5191440e+06,5.3006189e+03,2.6857923e+03,1.4688684e-04
4.2860232e+05,4.5191426e+06,5.2885624e+03,2.6698448e+03,1.5469837e-04
4.2863113e+05,4.5189973e+06,5.3016859e+03,2.6787149e+03,1.5892449e-04
4.2615723e+05,4.5186618e+06,3.8591958e+03,9.8820656e+02,3.4183068e-03
4.2860320e+05,4.5190975e+06,5.2969543e+03,2.6775517e+03,1.5264226e-04
4.2615281e+05,4.5186827e+06,3.8476074e+03,9.6876295e+02,3.6343449e-03
4.2616792e+05,4.5186817e+06,3.8666892e+03,9.8116256e+02,3.5463455e-03
4.2615893e+05,4.5186923e+06,3.8134330e+03,9.5892141e+02,3.7259604e-03
4.2615398e+05,4.5186731e+06,3.8156472e+03,9.6703545e+02,3.5903262e-03
4.2865431e+05,4.5188613e+06,5.3142999e+03,2.6884009e+03,1.6403814e-04
4.2615429e+05,4.5186831e+06,3.8442359e+03,9.6821133e+02,3.6378265e-03
4.2615700e+05,4.5186782e+06,3.8557704e+03,9.7665884e+02,3.5645959e-03
4.2857100e+05,4.5191407e+06,5.3022748e+03,2.6880172e+03,1.4634275e-04
4.2860232e+05,4.5191426e+06,5.2885624e+03,2.6698448e+03,1.5469837e-04
4.2863113e+05,4.5189973e+06,5.3016859e+03,2.6787149e+03,1.5892449e-04
4.2615844e+05,4.5186560e+06,3.8591072e+03,9.9283623e+02,3.3622969e-03
4.2862792e+05,4.5189832e+06,5.3053570e+03,2.6828127e+03,1.5815327e-04
4.2615491e+05,4.5186673e+06,3.8529603e+03,9.8125658e+02,3.4864330e-03
4.2616336e+05,4.5186819e+06,3.8616321e+03,9.7707149e+02,3.5751949e-03
4.2615752e+05,4.5186956e+06,3.7981264e+03,9.5315747e+02,3.7738391e-03
4.2615451e+05,4.5186649e+06,3.7923798e+03,9.6624542e+02,3.5499445e-03
4.2867984e+05,4.5187204e+06,5.3272438e+03,2.6978921e+03,1.6888738e-04
4.2615842e+05,4.5186769e+06,3.8416676e+03,9.7365346e+02,3.5728267e-03
4.2616259e+05,4.5186711e+06,3.8528357e+03,9.8501684e+02,3.4760574e-03
4.2862038e+05,4.5189443e+06,5.3144003e+03,2.6934091e+03,1.5671840e-04
4.2860232e+05,4.5191426e+06,5.2885624e+03,2.6698448e+03,1.5469837e-04
4.2864262e+05,4.5189299e+06,5.3079357e+03,2.6835131e+03,1.6145972e-04
4.2616018e+05,4.5186558e+06,3.8574011e+03,9.9378784e+02,3.3542426e-03
4.2864843e+05,4.5188566e+06,5.3186258e+03,2.6930088e+03,1.6092943e-04
4.2615538e+05,4.5186686e+06,3.8514757e+03,9.8025283e+02,3.4978558e-03
4.2616093e+05,4.5186754e+06,3.8435241e+03,9.7508912e+02,3.5535151e-03
