func,iter,xcen,ycen,depth,Pxx,Pyy,Pzz
1.819787e+01,11,4.2613511e+05,4.5187382e+06,3.7339979e+03,1.3274898e+07,1.3600801e+07,2.1476185e+07
1.820117e+01,13,4.2611665e+05,4.5188122e+06,3.7258251e+03,1.7503820e+07,1.8338386e+07,2.4455493e+07
1.820251e+01,12,4.2618849e+05,4.5185213e+06,3.9231005e+03,1.5358563e+07,2.1016261e+07,2.4831916e+07
1.823766e+01,10,4.2639164e+05,4.5187088e+06,3.8376709e+03,1.6110687e+07,1.5651023e+07,2.5673997e+07
1.825272e+01,12,4.2639810e+05,4.5185461e+06,3.7770449e+03,1.4369780e+07,1.6207522e+07,2.4862509e+07
1.829814e+01,11,4.2626595e+05,4.5187791e+06,3.6867717e+03,1.8780787e+07,1.7808812e+07,2.5533213e+07
1.834643e+01,13,4.2609940e+05,4.5185893e+06,3.8368630e+03,1.7142466e+07,1.8207965e+07,2.3925920e+07
1.836741e+01,13,4.2624861e+05,4.5186225e+06,3.8206443e+03,1.4586331e+07,1.9590022e+07,2.6639930e+07
1.837399e+01,13,4.2601969e+05,4.5186318e+06,3.8958940e+03,1.3629052e+07,1.6678293e+07,2.4364900e+07
1.837407e+01,11,4.2641922e+05,4.5185272e+06,3.3922640e+03,2.1061510e+07,1.9683422e+07,2.2769532e+07
1.839647e+01,11,4.2610855e+05,4.5187606e+06,3.8493113e+03,1.2583663e+07,1.7266728e+07,2.5029800e+07
1.843276e+01,13,4.2628311e+05,4.5185540e+06,4.1121059e+03,1.8043125e+07,2.2227385e+07,2.7936698e+07
1.843454e+01,13,4.2632809e+05,4.5187868e+06,3.7977659e+03,1.5806078e+07,2.1934736e+07,2.5681569e+07
1.848793e+01,13,4.2614754e+05,4.5186026e+06,3.8642389e+03,1.6385600e+07,1.8960716e+07,2.6967553e+07
1.862071e+01,13,4.2620609e+05,4.5184349e+06,3.8735872e+03,1.3533889e+07,2.0238757e+07,2.4890422e+07
1.862146e+01,13,4.2627573e+05,4.5186135e+06,3.7591731e+03,1.7495710e+07,2.4110580e+07,2.7041007e+07
1.864013e+01,13,4.2625758e+05,4.5186899e+06,4.0071378e+03,1.2252192e+07,2.0638660e+07,2.6455294e+07
1.872111e+01,8,4.2620289e+05,4.5186228e+06,4.1626303e+03,1.0329904e+07,1.1844295e+07,2.4204223e+07
1.872770e+01,13,4.2641433e+05,4.5185012e+06,3.7445979e+03,1.8965598e+07,2.2309451e+07,2.4881753e+07
1.872820e+01,13,4.2606081e+05,4.5187618e+06,3.5609872e+03,1.9960649e+07,2.1805398e+07,2.4043954e+07
1.874347e+01,13,4.2613624e+05,4.5185356e+06,3.9770785e+03,1.8829066e+07,2.3910047e+07,2.7858438e+07
1.885396e+01,12,4.2623194e+05,4.5186205e+06,3.6956533e+03,1.0179124e+07,1.8715180e+07,2.3337522e+07
1.887680e+01,11,4.2640010e+05,4.5185113e+06,3.8679334e+03,1.9654206e+07,2.1218369e+07,2.5969876e+07
1.888748e+01,12,4.2624468e+05,4.5186259e+06,3.6812001e+03,1.7601577e+07,2.5444585e+07,2.4965131e+07
1.896091e+01,13,4.2644222e+05,4.5186592e+06,3.9595352e+03,1.4269305e+07,1.9357004e+07,2.6184104e+07
1.900433e+01,12,4.2630908e+05,4.5187081e+06,4.0295161e+03,1.8614195e+07,2.2576101e+07,2.8157142e+07
1.906816e+01,13,4.2640871e+05,4.5185037e+06,3.8841473e+03,1.7995906e+07,1.9138966e+07,2.5269478e+07
