depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.4393597e+03,2.2795693e+07,3.3698838e+07,3.2241677e+07,-9.0302218e+06,-2.7541750e+06,1.9967423e+06
4.1653574e+03,2.3635595e+07,3.4461963e+07,3.1104872e+07,-8.0444169e+06,-2.7903522e+06,2.1089106e+06
4.2869660e+03,2.3487967e+07,3.4312753e+07,3.1717163e+07,-8.5232239e+06,-2.9065722e+06,1.9908796e+06
4.1567897e+03,2.3888879e+07,3.2343327e+07,3.0639895e+07,-8.0005809e+06,-3.0926784e+06,2.0873306e+06
4.0635155e+03,2.3931769e+07,2.9441359e+07,2.9491897e+07,-7.5101508e+06,-3.1352487e+06,2.3216576e+06
4.2923382e+03,2.3137104e+07,3.2531170e+07,3.1339361e+07,-8.3445209e+06,-2.7304680e+06,2.2862004e+06
4.2071780e+03,2.2898018e+07,3.2574579e+07,3.0514984e+07,-8.7437767e+06,-3.1200784e+06,1.8397469e+06
4.3512613e+03,2.3310641e+07,3.4654659e+07,3.2142663e+07,-8.9061743e+06,-3.0483687e+06,1.9346579e+06
4.3223562e+03,2.3435201e+07,3.3474564e+07,3.1733978e+07,-8.6116217e+06,-2.9776723e+06,2.0026859e+06
4.3443406e+03,2.3269201e+07,3.3759713e+07,3.1825103e+07,-8.9344498e+06,-3.1057124e+06,1.8134829e+06
4.1920094e+03,2.4123656e+07,3.0502658e+07,3.0533421e+07,-7.8478565e+06,-3.1204415e+06,2.1800913e+06
4.2529266e+03,2.3693815e+07,3.2740818e+07,3.1269711e+07,-8.4988267e+06,-3.2665572e+06,1.9299211e+06
4.2939723e+03,2.3112202e+07,3.3295331e+07,3.1411043e+07,-8.6206940e+06,-2.9240473e+06,2.0404096e+06
4.0703120e+03,2.3283692e+07,2.9867273e+07,2.9205006e+07,-8.1443890e+06,-3.2768364e+06,1.9655552e+06
4.2607711e+03,2.3307402e+07,3.1943263e+07,3.0959073e+07,-8.5608451e+06,-3.1545772e+06,1.9662076e+06
4.2290524e+03,2.3071352e+07,3.2839311e+07,3.0881236e+07,-8.3575106e+06,-2.7971898e+06,2.0954251e+06
4.2786464e+03,2.3543108e+07,3.3381288e+07,3.1475862e+07,-8.4645628e+06,-2.9766448e+06,2.0052515e+06
4.1651386e+03,2.3750814e+07,3.2665698e+07,3.0702192e+07,-8.0198294e+06,-2.9909147e+06,2.0874478e+06
4.1069250e+03,2.3889561e+07,3.0299674e+07,2.9889766e+07,-7.7981642e+06,-3.2025585e+06,2.1694423e+06
4.2314678e+03,2.3080266e+07,3.2059977e+07,3.0779077e+07,-8.3258916e+06,-2.8446694e+06,2.1934455e+06
3.9652191e+03,2.2644325e+07,2.9571284e+07,2.8210946e+07,-8.1888349e+06,-3.2455605e+06,1.9040742e+06
4.2758306e+03,2.3271727e+07,3.3311761e+07,3.1350661e+07,-8.5510992e+06,-2.9500486e+06,2.0144262e+06
4.1733570e+03,2.3393020e+07,3.1595291e+07,3.0412612e+07,-8.1013908e+06,-2.9626055e+06,2.1744846e+06
4.1833166e+03,2.3496466e+07,3.1781589e+07,3.0517287e+07,-8.2614852e+06,-3.1376532e+06,2.0299120e+06
4.1379709e+03,2.3814397e+07,3.1081270e+07,3.0204718e+07,-7.9051018e+06,-3.1088484e+06,2.1265171e+06
4.1306648e+03,2.3662730e+07,3.0790537e+07,3.0082489e+07,-7.9606563e+06,-3.1625425e+06,2.1580028e+06
4.2224508e+03,2.3553870e+07,3.1738532e+07,3.0782783e+07,-8.2084592e+06,-3.0208653e+06,2.1083411e+06
4.0069192e+03,2.2814228e+07,2.8665206e+07,2.8471584e+07,-7.7898991e+06,-2.9485364e+06,2.3108617e+06
4.0981069e+03,2.3915094e+07,3.1554887e+07,3.0093137e+07,-7.7826135e+06,-3.1256592e+06,2.0537341e+06
