xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
4.2625724e+05,4.5189395e+06,2.8145266e+03,2.1283767e+03,1.4909937e-03,6.5237214e+01,2.1680903e+01
4.2622598e+05,4.5187875e+06,2.9946366e+03,2.0935778e+03,1.8000152e-03,5.2549236e+01,2.1386863e+01
4.2616833e+05,4.5186875e+06,2.8944806e+03,2.0782966e+03,1.8608357e-03,5.2287449e+01,2.1789263e+01
4.2621611e+05,4.5188092e+06,3.0415052e+03,2.1174444e+03,1.7567522e-03,5.3878317e+01,2.0478153e+01
4.2622244e+05,4.5188409e+06,2.9659343e+03,2.1235668e+03,1.6750375e-03,5.8846077e+01,2.0689509e+01
4.2626643e+05,4.5188291e+06,2.9441713e+03,2.1087223e+03,1.6969280e-03,5.9307895e+01,2.1188152e+01
4.2627876e+05,4.5188584e+06,2.6671280e+03,2.0900861e+03,1.5488636e-03,6.8024054e+01,2.3406842e+01
4.2624714e+05,4.5188285e+06,2.7954057e+03,2.0854334e+03,1.6732769e-03,6.0998805e+01,2.2775789e+01
4.2627038e+05,4.5188438e+06,2.8935685e+03,2.0952904e+03,1.7259274e-03,6.1725860e+01,2.1483135e+01
4.2624688e+05,4.5189593e+06,2.6225829e+03,2.0753231e+03,1.5542504e-03,6.4776136e+01,2.3841669e+01
4.2607039e+05,4.5187160e+06,3.1541698e+03,2.1552824e+03,1.7725400e-03,4.6098730e+01,1.8619535e+01
4.2623067e+05,4.5188100e+06,2.9931779e+03,2.1072902e+03,1.7535746e-03,5.4496870e+01,2.0999011e+01
4.2625258e+05,4.5187675e+06,2.8936029e+03,2.0900890e+03,1.7660377e-03,5.9866670e+01,2.1582545e+01
4.2621303e+05,4.5188208e+06,2.9769663e+03,2.1178011e+03,1.6925382e-03,5.6943810e+01,2.1072753e+01
4.2628012e+05,4.5188971e+06,2.6838978e+03,2.0733421e+03,1.6150209e-03,6.4891832e+01,2.3512750e+01
4.2627925e+05,4.5188898e+06,2.9457464e+03,2.0973459e+03,1.7276959e-03,5.9227312e+01,2.1409760e+01
4.2625758e+05,4.5189398e+06,2.7359808e+03,2.1096258e+03,1.4960876e-03,6.5426394e+01,2.2651380e+01
4.2625645e+05,4.5188426e+06,2.8688416e+03,2.0847048e+03,1.7229450e-03,5.7892063e+01,2.2253804e+01
4.2620555e+05,4.5187811e+06,2.8587077e+03,2.0932638e+03,1.7242031e-03,5.7417278e+01,2.2027639e+01
4.2621199e+05,4.5188253e+06,2.8484402e+03,2.1050836e+03,1.6649974e-03,6.0030632e+01,2.1802143e+01
4.2622775e+05,4.5188324e+06,2.7437553e+03,2.0936756e+03,1.6242580e-03,6.3142216e+01,2.2566348e+01
4.2620924e+05,4.5188369e+06,2.8687320e+03,2.1311220e+03,1.5746599e-03,6.2453422e+01,2.1196828e+01
4.2626670e+05,4.5188509e+06,2.6768891e+03,2.0942546e+03,1.5431338e-03,6.7290984e+01,2.3295422e+01
4.2623052e+05,4.5188715e+06,2.6445152e+03,2.0773799e+03,1.5819752e-03,6.3798000e+01,2.3855179e+01
4.2621961e+05,4.5188679e+06,2.8078158e+03,2.1095994e+03,1.6304298e-03,6.6504776e+01,2.1734925e+01
4.2622831e+05,4.5189299e+06,2.6641264e+03,2.0850575e+03,1.5628948e-03,6.3924699e+01,2.3388331e+01
4.2616883e+05,4.5188446e+06,2.8230809e+03,2.1202591e+03,1.5950663e-03,6.0889371e+01,2.1652216e+01
4.2623131e+05,4.5188269e+06,2.9137260e+03,2.1057916e+03,1.6980152e-03,5.7741833e+01,2.1484083e+01
4.2624004e+05,4.5188477e+06,2.7087624e+03,2.1038530e+03,1.5595811e-03,6.7602914e+01,2.2451782e+01
4.2622402e+05,4.5188482e+06,2.8609235e+03,2.1115191e+03,1.6230231e-03,6.1358591e+01,2.1897796e+01
4.2626988e+05,4.5188988e+06,2.6798474e+03,2.0761968e+03,1.6041207e-03,6.4819341e+01,2.3472062e+01
4.2625154e+05,4.5188664e+06,2.8150833e+03,2.1012920e+03,1.6307938e-03,6.3182154e+01,2.2058650e+01
4.2625310e+05,4.5189016e+06,2.6895686e+03,2.0871464e+03,1.5546700e-03,6.3859276e+01,2.3483274e+01
4.2623720e+05,4.5188764e+06,2.7378659e+03,2.0900914e+03,1.6096821e-03,6.2728163e+01,2.2831477e+01
4.2622333e+05,4.5188162e+06,2.8296214e+03,2.0947531e+03,1.6831188e-03,5.9783937e+01,2.2174814e+01
4.2621119e+05,4.5188127e+06,2.8326284e+03,2.0980916e+03,1.6663422e-03,5.7380054e+01,2.2199217e+01
4.2624808e+05,4.5188453e+06,2.6689525e+03,2.0887184e+03,1.5734238e-03,6.6102734e+01,2.3196015e+01
4.2623395e+05,4.5188692e+06,2.7023768e+03,2.1142343e+03,1.5040041e-03,6.7815070e+01,2.2485402e+01
4.2627039e+05,4.5188534e+06,2.6667612e+03,2.0892698e+03,1.5506028e-03,6.7229447e+01,2.3496783e+01
4.2624483e+05,4.5188817e+06,2.6472339e+03,2.0757021e+03,1.5856427e-03,6.4329307e+01,2.3830252e+01
4.2623337e+05,4.5188452e+06,2.7597756e+03,2.0947134e+03,1.6288148e-03,6.3866851e+01,2.2516112e+01
4.2623411e+05,4.5189048e+06,2.6656971e+03,2.0861701e+03,1.5660397e-03,6.4566084e+01,2.3329915e+01
4.2621219e+05,4.5188907e+06,2.7375411e+03,2.1026450e+03,1.5683326e-03,6.3303484e+01,2.2561085e+01
4.2621423e+05,4.5188532e+06,2.8008981e+03,2.1136558e+03,1.5784164e-03,6.1560169e+01,2.2016730e+01
4.2623749e+05,4.5188985e+06,2.6708753e+03,2.0956873e+03,1.5417808e-03,6.6550994e+01,2.2959037e+01
