xtlc,ytlc,dtlc,length,opening
4.2478174e+05,4.5195347e+06,3.5458198e+03,2.7763190e+03,1.2950914e+00
4.2486488e+05,4.5195316e+06,3.4900251e+03,2.6357345e+03,1.3425472e+00
4.2484240e+05,4.5195188e+06,3.5346901e+03,2.6869390e+03,1.3221242e+00
4.2483819e+05,4.5195276e+06,3.5373796e+03,2.6984756e+03,1.3132666e+00
4.2486141e+05,4.5195439e+06,3.4986317e+03,2.6456033e+03,1.3262635e+00
4.2480634e+05,4.5195398e+06,3.5415189e+03,2.7540912e+03,1.2965160e+00
4.2480065e+05,4.5195219e+06,3.5255896e+03,2.7396663e+03,1.3000714e+00
4.2483672e+05,4.5195332e+06,3.5307398e+03,2.7036352e+03,1.3073850e+00
4.2483267e+05,4.5195530e+06,3.5341832e+03,2.7142983e+03,1.2996558e+00
4.2482626e+05,4.5195642e+06,3.5208181e+03,2.7021013e+03,1.3037429e+00
4.2479039e+05,4.5195437e+06,3.5355781e+03,2.7603544e+03,1.2972016e+00
4.2484160e+05,4.5195309e+06,3.5162559e+03,2.6797791e+03,1.3268462e+00
4.2486012e+05,4.5195010e+06,3.5402697e+03,2.6514492e+03,1.3408158e+00
4.2481992e+05,4.5195277e+06,3.5479802e+03,2.7320119e+03,1.3039137e+00
4.2482690e+05,4.5195284e+06,3.5214312e+03,2.7003992e+03,1.3164234e+00
4.2481311e+05,4.5195200e+06,3.5307077e+03,2.7285432e+03,1.3155774e+00
4.2478151e+05,4.5195293e+06,3.5566154e+03,2.7893071e+03,1.2840814e+00
4.2486291e+05,4.5195365e+06,3.5081081e+03,2.6543773e+03,1.3276921e+00
4.2480570e+05,4.5195404e+06,3.5387180e+03,2.7429739e+03,1.3004767e+00
4.2483541e+05,4.5195486e+06,3.5139025e+03,2.6868658e+03,1.3176230e+00
4.2484249e+05,4.5195474e+06,3.5154997e+03,2.6847128e+03,1.3187079e+00
4.2486482e+05,4.5195133e+06,3.5189992e+03,2.6417092e+03,1.3474633e+00
4.2483105e+05,4.5195168e+06,3.5570506e+03,2.6871986e+03,1.3268120e+00
4.2481634e+05,4.5195441e+06,3.5542111e+03,2.7192796e+03,1.3102562e+00
4.2481740e+05,4.5195250e+06,3.5278523e+03,2.7176426e+03,1.3119042e+00
4.2481457e+05,4.5195255e+06,3.5322596e+03,2.7295889e+03,1.3083310e+00
4.2481484e+05,4.5195572e+06,3.5461507e+03,2.7490490e+03,1.2804460e+00
4.2490927e+05,4.5195472e+06,3.4965679e+03,2.5950951e+03,1.3437947e+00
4.2481248e+05,4.5195459e+06,3.5369085e+03,2.7344107e+03,1.3009218e+00
4.2484662e+05,4.5195389e+06,3.5158745e+03,2.6577229e+03,1.3299742e+00
