func,iter,xtlc,ytlc,dtlc,length,width,dip,opening
2.506317e+01,14,4.2556927e+05,4.5197895e+06,4.0580004e+03,1.4795627e+03,2.6331617e+03,9.7613466e-01,2.0533552e+00
2.507406e+01,14,4.2518887e+05,4.5198475e+06,3.9017747e+03,2.1793504e+03,2.6251679e+03,2.3800385e+00,1.4213768e+00
2.511453e+01,16,4.2516563e+05,4.5198699e+06,3.7747390e+03,1.8846604e+03,2.8577096e+03,2.2195835e+00,1.5269252e+00
2.512000e+01,17,4.2507376e+05,4.5199863e+06,3.8605707e+03,2.3987318e+03,2.6341155e+03,2.2317903e+00,1.3256767e+00
2.513634e+01,14,4.2550170e+05,4.5196033e+06,4.1721512e+03,1.2974832e+03,1.7417388e+03,1.2939605e+00,3.8734483e+00
2.522626e+01,16,4.2547792e+05,4.5193321e+06,3.8793299e+03,1.1989661e+03,1.6472222e+03,2.0691925e+00,3.9073562e+00
2.528246e+01,17,4.2501017e+05,4.5199521e+06,3.8635560e+03,2.3470443e+03,2.5160878e+03,2.2700202e+00,1.3824818e+00
2.528283e+01,17,4.2546725e+05,4.5192080e+06,4.0367151e+03,1.4000930e+03,1.4250830e+03,1.6298368e+00,3.8287547e+00
2.528930e+01,16,4.2545423e+05,4.5191377e+06,4.2228108e+03,1.5042500e+03,1.4712718e+03,1.2131157e-01,3.9866847e+00
2.533078e+01,17,4.2519121e+05,4.5200202e+06,3.8527213e+03,1.9649735e+03,2.5088109e+03,2.1716231e-01,1.5085469e+00
2.541614e+01,16,4.2545331e+05,4.5192241e+06,4.2630436e+03,1.4598969e+03,1.4603306e+03,1.0732702e+00,3.8279895e+00
2.550043e+01,15,4.2537324e+05,4.5193429e+06,4.1576662e+03,1.3539038e+03,1.6165064e+03,1.2532215e-01,3.9993962e+00
2.553648e+01,14,4.2547667e+05,4.5195097e+06,4.1729452e+03,1.3325075e+03,1.7097456e+03,2.4583118e+00,3.9739977e+00
2.555973e+01,17,4.2529875e+05,4.5197823e+06,4.1768232e+03,1.9046930e+03,2.8415849e+03,8.2904866e-01,1.6867480e+00
2.556557e+01,16,4.2568662e+05,4.5193832e+06,4.0623703e+03,1.3398891e+03,1.4749652e+03,2.5311805e+00,3.9871154e+00
2.556785e+01,15,4.2517232e+05,4.5199602e+06,3.9409550e+03,2.2720075e+03,2.6089242e+03,1.8836994e+00,1.3882343e+00
2.557678e+01,17,4.2526078e+05,4.5199520e+06,3.6631061e+03,2.2270750e+03,2.6325319e+03,1.9709703e+00,1.2820824e+00
2.557872e+01,17,4.2530999e+05,4.5198376e+06,4.1084840e+03,1.8531683e+03,2.8460505e+03,9.2175556e-01,1.5799697e+00
2.559354e+01,15,4.2547684e+05,4.5192940e+06,3.6975111e+03,1.3655010e+03,1.5250363e+03,1.0631311e+00,3.6105978e+00
2.560445e+01,17,4.2571661e+05,4.5194209e+06,3.7505961e+03,1.3732656e+03,1.5697845e+03,1.0243484e+00,3.5786289e+00
2.562620e+01,16,4.2554517e+05,4.5193044e+06,3.8932476e+03,1.1962282e+03,1.7043602e+03,2.2457728e+00,3.7949772e+00
2.564853e+01,16,4.2508445e+05,4.5200462e+06,3.7847073e+03,2.0232663e+03,2.7186854e+03,1.7083603e+00,1.4649692e+00
