func,iter,xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
1.499365e+01,19,4.2616690e+05,4.5186747e+06,2.9912708e+03,1.6289643e+03,3.9854969e-03,9.5273447e+01,2.5847094e+01
1.500325e+01,19,4.2630148e+05,4.5188509e+06,3.0919526e+03,1.7050520e+03,3.8110014e-03,7.1454040e+01,2.7609881e+01
1.507180e+01,18,4.2633249e+05,4.5186182e+06,3.2671836e+03,1.5884243e+03,4.9438471e-03,7.0686443e+01,2.0817353e+01
1.508913e+01,18,4.2642752e+05,4.5187607e+06,2.8244531e+03,1.4946737e+03,4.3158771e-03,6.6380668e+01,2.7623503e+01
1.509106e+01,19,4.2628833e+05,4.5185906e+06,3.1811022e+03,1.6818932e+03,3.8697862e-03,6.0557408e+01,2.8150422e+01
1.513114e+01,19,4.2642537e+05,4.5186845e+06,3.0807468e+03,1.6309269e+03,3.9966612e-03,9.4469852e+01,2.5782882e+01
1.517817e+01,17,4.2645881e+05,4.5187262e+06,3.0073192e+03,1.5969860e+03,4.2671374e-03,9.4127113e+01,2.4927448e+01
1.521448e+01,8,4.2619683e+05,4.5188101e+06,2.7950863e+03,1.9146610e+03,2.2694527e-03,8.2154677e+01,1.8384750e+01
1.525547e+01,19,4.2640481e+05,4.5188302e+06,3.0225590e+03,1.6060806e+03,3.9425363e-03,9.7297467e+01,2.6027886e+01
1.534042e+01,19,4.2641815e+05,4.5186770e+06,3.0033980e+03,1.3972282e+03,5.7851670e-03,9.2908009e+01,2.6529728e+01
1.534280e+01,16,4.2634981e+05,4.5188686e+06,3.0265330e+03,1.4805879e+03,4.8902894e-03,8.0466907e+01,2.4158204e+01
1.538547e+01,17,4.2620435e+05,4.5188193e+06,3.0730117e+03,1.4469094e+03,5.3962166e-03,9.5066294e+01,2.4125115e+01
1.538554e+01,18,4.2633436e+05,4.5186015e+06,3.2448007e+03,1.6799537e+03,4.1363369e-03,8.8014606e+01,2.5733172e+01
1.539522e+01,16,4.2643051e+05,4.5188323e+06,2.9866836e+03,1.4798028e+03,4.7970085e-03,7.5615631e+01,2.7185120e+01
1.543863e+01,18,4.2615781e+05,4.5185360e+06,3.0839670e+03,1.5579848e+03,4.7625130e-03,7.4881885e+01,2.4738361e+01
1.545698e+01,16,4.2636555e+05,4.5189792e+06,2.8972252e+03,1.4177929e+03,5.5833941e-03,9.3604540e+01,2.6669692e+01
1.547186e+01,18,4.2627795e+05,4.5189525e+06,3.0682898e+03,1.6343221e+03,4.1138607e-03,9.0950693e+01,2.6033599e+01
1.550009e+01,17,4.2626108e+05,4.5188842e+06,2.9347527e+03,1.5073177e+03,4.6975985e-03,6.3082097e+01,2.3231915e+01
1.553532e+01,19,4.2638169e+05,4.5186864e+06,2.7274999e+03,1.9658234e+03,1.9501665e-03,7.6941047e+01,1.8496088e+01
1.558121e+01,18,4.2630790e+05,4.5186613e+06,3.0125401e+03,1.5526604e+03,4.9215889e-03,7.3879663e+01,2.7057788e+01
1.567554e+01,19,4.2616303e+05,4.5188473e+06,3.0545731e+03,1.5588364e+03,4.2490751e-03,9.0615028e+01,2.7073999e+01
1.568771e+01,18,4.2620347e+05,4.5188490e+06,2.7048331e+03,1.3632405e+03,5.8913264e-03,1.0664019e+02,2.8637355e+01
1.577119e+01,19,4.2633880e+05,4.5187779e+06,3.1935271e+03,1.6994361e+03,4.0670323e-03,6.9837751e+01,2.6460061e+01
1.577764e+01,19,4.2636982e+05,4.5185208e+06,3.2219982e+03,1.5644870e+03,4.8473703e-03,7.4573885e+01,2.5913449e+01
1.586693e+01,19,4.2623879e+05,4.5187503e+06,2.9680111e+03,1.5952431e+03,4.4208244e-03,6.7599071e+01,2.1659921e+01
1.588792e+01,19,4.2631683e+05,4.5185194e+06,3.0942997e+03,1.4797557e+03,5.0854321e-03,7.5856861e+01,2.8546604e+01
1.590171e+01,16,4.2630510e+05,4.5185459e+06,3.3542032e+03,1.5443292e+03,5.4266795e-03,8.0184840e+01,2.1216035e+01
1.599582e+01,17,4.2619712e+05,4.5187530e+06,3.0333440e+03,1.6927286e+03,3.8348570e-03,8.5448331e+01,2.4604143e+01
1.605798e+01,18,4.2617880e+05,4.5185641e+06,2.8044580e+03,1.4643615e+03,4.9989040e-03,6.4408737e+01,2.1773081e+01
1.607179e+01,18,4.2620632e+05,4.5187806e+06,2.7847672e+03,1.5199147e+03,4.5932827e-03,6.8304031e+01,2.4233470e+01
1.608632e+01,18,4.2638259e+05,4.5187143e+06,2.9846389e+03,1.8579501e+03,2.8426922e-03,8.9367150e+01,2.5444005e+01
1.612513e+01,19,4.2637534e+05,4.5186320e+06,3.3980513e+03,1.6594646e+03,4.5476296e-03,7.7654370e+01,2.5495192e+01
1.616574e+01,19,4.2607372e+05,4.5187721e+06,3.0427361e+03,1.5876857e+03,4.1189271e-03,7.6700680e+01,2.3455148e+01
1.623185e+01,18,4.2637087e+05,4.5189485e+06,2.9868399e+03,1.5242612e+03,4.5535564e-03,9.8030226e+01,2.6561943e+01
1.628599e+01,18,4.2612981e+05,4.5188446e+06,3.1062289e+03,1.5472582e+03,4.9853077e-03,8.2533002e+01,2.5320480e+01
1.629558e+01,19,4.2627080e+05,4.5187131e+06,3.1491537e+03,1.5734571e+03,4.2238237e-03,6.9837553e+01,2.6976981e+01
1.632361e+01,17,4.2612848e+05,4.5186208e+06,3.0096275e+03,1.4444370e+03,5.6062075e-03,9.7716167e+01,2.6942799e+01
1.633134e+01,19,4.2624599e+05,4.5186859e+06,2.9532805e+03,2.0214523e+03,2.1895038e-03,6.8342218e+01,1.8976803e+01
1.633671e+01,19,4.2644128e+05,4.5188170e+06,3.1702604e+03,1.5717957e+03,5.0335531e-03,8.7098207e+01,2.9076324e+01
1.637407e+01,14,4.2610489e+05,4.5188715e+06,2.8903678e+03,1.4407389e+03,5.0631469e-03,9.4227915e+01,2.4910569e+01
1.648659e+01,19,4.2608658e+05,4.5186230e+06,3.1232634e+03,1.5755239e+03,4.6194396e-03,8.8936413e+01,2.5843518e+01
1.661149e+01,17,4.2611181e+05,4.5188637e+06,3.0684030e+03,1.5588802e+03,4.8054133e-03,8.5395191e+01,2.8484457e+01
