xcen,ycen,depth,dVol
4.2630504e+05,4.5188541e+06,2.5703910e+03,4.9622562e+06
4.2630395e+05,4.5188552e+06,2.5723106e+03,4.9779276e+06
4.2630874e+05,4.5188521e+06,2.5764784e+03,4.9605258e+06
4.2630951e+05,4.5188246e+06,2.5736551e+03,5.0091969e+06
4.2631463e+05,4.5188623e+06,2.5600060e+03,4.9261705e+06
4.2631807e+05,4.5188625e+06,2.5637202e+03,4.9300888e+06
4.2631764e+05,4.5188470e+06,2.6006728e+03,5.0646110e+06
4.2628533e+05,4.5188312e+06,2.6174565e+03,5.0958165e+06
4.2629342e+05,4.5188396e+06,2.5902111e+03,5.0148335e+06
4.2629588e+05,4.5188439e+06,2.5801864e+03,4.9834991e+06
4.2630087e+05,4.5188556e+06,2.5656425e+03,4.9371354e+06
4.2629842e+05,4.5188554e+06,2.5663026e+03,4.9517834e+06
4.2630562e+05,4.5188452e+06,2.5873712e+03,4.9986797e+06
4.2631245e+05,4.5188254e+06,2.5745465e+03,5.0152646e+06
4.2632675e+05,4.5188566e+06,2.5736850e+03,4.9701570e+06
4.2631203e+05,4.5188559e+06,2.5635780e+03,4.9235600e+06
4.2632817e+05,4.5188487e+06,2.6158363e+03,5.1029825e+06
4.2629953e+05,4.5188330e+06,2.6142554e+03,5.0895673e+06
4.2629685e+05,4.5188307e+06,2.6146455e+03,5.0902828e+06
4.2628822e+05,4.5188498e+06,2.6051669e+03,5.0371092e+06
4.2631618e+05,4.5188168e+06,2.6593174e+03,5.2343017e+06
4.2629401e+05,4.5188481e+06,2.5865186e+03,5.0121174e+06
4.2632102e+05,4.5188555e+06,2.5955335e+03,5.0189511e+06
4.2631303e+05,4.5188299e+06,2.5990129e+03,5.0633536e+06
4.2632318e+05,4.5188500e+06,2.5800562e+03,4.9932521e+06
4.2630000e+05,4.5188196e+06,2.5972243e+03,5.0217670e+06
4.2631707e+05,4.5188426e+06,2.6161125e+03,5.1055735e+06
4.2629640e+05,4.5188372e+06,2.6298157e+03,5.1175780e+06
4.2630277e+05,4.5188252e+06,2.6250421e+03,5.1217731e+06
4.2629479e+05,4.5188390e+06,2.6128053e+03,5.0774851e+06
4.2631211e+05,4.5188376e+06,2.6281350e+03,5.1286726e+06
4.2629796e+05,4.5188473e+06,2.5842764e+03,4.9983445e+06
4.2631609e+05,4.5188381e+06,2.6234313e+03,5.1026118e+06
4.2631238e+05,4.5188367e+06,2.5954766e+03,5.0454866e+06
4.2633761e+05,4.5188437e+06,2.6061430e+03,5.0348592e+06
4.2630945e+05,4.5188323e+06,2.6103973e+03,5.0576411e+06
4.2632245e+05,4.5188451e+06,2.6157897e+03,5.0845880e+06
4.2630105e+05,4.5188421e+06,2.6387962e+03,5.1299720e+06
4.2631865e+05,4.5188307e+06,2.6292934e+03,5.1265304e+06
4.2630032e+05,4.5188413e+06,2.6169551e+03,5.0815572e+06
4.2631041e+05,4.5188140e+06,2.6309783e+03,5.1438632e+06
4.2631176e+05,4.5188486e+06,2.5928371e+03,5.0188371e+06
4.2633284e+05,4.5188397e+06,2.6008008e+03,5.0652743e+06
4.2631203e+05,4.5188319e+06,2.5970983e+03,5.0259952e+06
4.2633385e+05,4.5188525e+06,2.6129831e+03,5.0443529e+06
4.2632185e+05,4.5188232e+06,2.6224409e+03,5.0754438e+06
4.2630910e+05,4.5188598e+06,2.5931481e+03,5.0451417e+06
4.2629646e+05,4.5188431e+06,2.6432923e+03,5.1387407e+06
4.2631089e+05,4.5188237e+06,2.6774987e+03,5.2642451e+06
4.2630352e+05,4.5188441e+06,2.6127383e+03,5.0616125e+06
4.2629910e+05,4.5188148e+06,2.6505002e+03,5.1988812e+06
4.2631590e+05,4.5188354e+06,2.6123906e+03,5.0606493e+06
4.2632499e+05,4.5188425e+06,2.6285278e+03,5.1198990e+06
4.2631583e+05,4.5188359e+06,2.5827087e+03,4.9958381e+06
4.2632625e+05,4.5188564e+06,2.6225074e+03,5.0537733e+06
4.2633620e+05,4.5188277e+06,2.6342226e+03,5.0755927e+06
4.2631750e+05,4.5188378e+06,2.5925106e+03,5.0285643e+06
4.2630902e+05,4.5188402e+06,2.6158179e+03,5.0687103e+06
4.2633387e+05,4.5188238e+06,2.6262870e+03,5.1310664e+06
4.2631101e+05,4.5188486e+06,2.6108056e+03,5.0546741e+06
4.2630270e+05,4.5188273e+06,2.6223409e+03,5.1017749e+06
4.2632510e+05,4.5188399e+06,2.6392253e+03,5.1073574e+06
4.2632396e+05,4.5188446e+06,2.6304461e+03,5.1300449e+06
